TerritoryID;NameLocalizationKey;BaseStructureLimit;MaxStructureLimit;TerritoryScore;IsPOI;MapIcon;CompassIcon;DiscoveryRadius;IsDiscoverable;IsChartable;DefaultAchievement;OutpostId;Debug;LootTags;DiscoveredAchievement;ChartedAchievement;POITag;AudioGroup;AudioState;CanPlaceCamp;DevName;VitalsCategory;LevelRange;Containers;TooltipBackground;GameMode;GroupSize;IsCollapsible;UnchartedIcon
30101;@ui_poi_shipwreck_30101;;;;true;LyShineUI/Images/Map/Icon/POIs/Shipwreck.png;;250;true;true;0;;;;undead_shipwreck_30101_discovered;undead_shipwreck_30101_charted;undead_shipwreck_30101;Music_POI;shipwreck;false;The Montore Expedition;Pirates;22-24;1;LyShineUI/Images/Map/tooltipImages/mapTooltip_poi_shipwreck.png;;0;false;
30102;@ui_poi_shipwreck_30102;;;;true;LyShineUI/Images/Map/Icon/POIs/Shipwreck.png;;500;true;true;0;;;;undead_shipwreck_30102_discovered;undead_shipwreck_30102_charted;undead_shipwreck_30102;Music_POI;shipwreck;false;Abadier's Anger;Pirates;21-22;0;LyShineUI/Images/Map/tooltipImages/mapTooltip_poi_shipwreck.png;;0;false;
30103;@ui_poi_witheredfarm_30103;;;;true;LyShineUI/Images/Map/Icon/POIs/abandoned_farm_village.png;;200;true;true;0;;;;withered_farm_30103_discovered;withered_farm_30103_charted;;Music_POI;;false;;;;0;;;0;false;
30104;@ui_poi_witheredfarm_1_30104;;;;true;LyShineUI/Images/Map/Icon/POIs/abandoned_farm_village.png;;200;true;true;0;;;;withered_farm_2_30104_discovered;withered_farm_2_30104_charted;witheredfarm_2_30104;Music_POI;farm;false;Crone's Rest;Withered;11;10;LyShineUI/Images/Map/tooltipImages/mapTooltip_poi_farm.png;;0;false;
30105;@ui_poi_witheredfarm_1_30105;;;;true;LyShineUI/Images/Map/Icon/POIs/abandoned_farm_village.png;;200;true;true;0;;;;withered_farm_2_30105_discovered;withered_farm_2_30105_charted;witheredfarm_2_30105;Music_POI;farm;false;Farside Farm;Withered;11;10;LyShineUI/Images/Map/tooltipImages/mapTooltip_poi_farm.png;;0;false;
30106;@ui_poi_bear_den_30106;;;;true;LyShineUI/Images/Map/Icon/POIs/bear_den.png;;100;true;true;0;;;;bear_den_30106_discovered;bear_den_30106_charted;bear_den_30106;Music_POI;bear_den;false;;;;0;LyShineUI/Images/Map/tooltipImages/mapTooltip_poi_bearden.png;;0;false;
30107;@ui_poi_bear_den_30107;;;;true;LyShineUI/Images/Map/Icon/POIs/bear_den.png;;100;true;true;0;;;;bear_den_30107_discovered;bear_den_30107_charted;bear_den_30107;Music_POI;bear_den;false;Bear Den;GrizzlyBear;40;0;LyShineUI/Images/Map/tooltipImages/mapTooltip_poi_bearden.png;;0;false;
30108;@ui_poi_bear_den_30108;;;;true;LyShineUI/Images/Map/Icon/POIs/Mine.png;;200;true;true;0;;;;bear_den_30108_discovered;bear_den_30108_charted;bear_den_30108;Music_POI;mine;false;Adamant Mine;Withered;11-14;0;LyShineUI/Images/Map/tooltipImages/mapTooltip_outpostRush_mine.png;;0;false;
30109;@ui_poi_alpha_wolf_den_30109;;;;true;LyShineUI/Images/Map/Icon/POIs/wolf_den.png;;100;true;true;0;;;;alphawolf_den_30109_discovered;alphawolf_den_30109_charted;alphawolf_den_30109;Music_POI;wolf_den;false;Alpha Wolf Den;AlphaWolf;16;0;LyShineUI/Images/Map/tooltipImages/mapTooltip_outpostRush_wolfDen.png;;0;false;
30110;@ui_poi_alpha_wolf_den_30110;;;;true;LyShineUI/Images/Map/Icon/POIs/wolf_den.png;;100;true;true;0;;;;alphawolf_den_30110_discovered;alphawolf_den_30110_charted;alphawolf_den_30110;Music_POI;wolf_den;false;Alpha Wolf Den;AlphaWolf;16;0;LyShineUI/Images/Map/tooltipImages/mapTooltip_outpostRush_wolfDen.png;;0;false;
30111;@ui_poi_grey_wolf_den_30111;;;;true;LyShineUI/Images/Map/Icon/POIs/wolf_den.png;;100;true;true;0;;;;greywolf_den_30111_discovered;greywolf_den_30111_charted;greywolf_den_30111;Music_POI;wolf_den;false;Grey Wolf Den;AlphaWolf;10;0;LyShineUI/Images/Map/tooltipImages/mapTooltip_outpostRush_wolfDen.png;;0;false;
30112;@ui_poi_witherd_mines_30112;;;;true;LyShineUI/Images/Map/Icon/POIs/Mine.png;;200;true;true;0;;;;withered_mines_30112_discovered;withered_mines_30112_charted;withered_mines_30112;Music_POI;mine;false;Mines de Miclot;Withered;14-15;15;LyShineUI/Images/Map/tooltipImages/mapTooltip_outpostRush_mine.png;;0;false;
30113;@ui_poi_witheredfarm_3_30113;;;;true;LyShineUI/Images/Map/Icon/POIs/abandoned_farm_village.png;;175;true;true;0;;;;withered_farm_30113_discovered;withered_farm_30113_charted;withered_farm_30113;Music_POI;farm;false;Lakeside Farm;Withered;9-21;6;LyShineUI/Images/Map/tooltipImages/mapTooltip_poi_farm.png;;0;false;
30114;@ui_poi_witheredfarm_2_30114;;;;true;LyShineUI/Images/Map/Icon/POIs/abandoned_farm_village.png;;100;true;true;0;;;;withered_farm_3_30114_discovered;withered_farm_3_30114_charted;withered_farm_3_30114;Music_POI;farm;false;Fong Family Orchard;Withered;11-14;5;LyShineUI/Images/Map/tooltipImages/mapTooltip_poi_farm.png;;0;false;
30115;@ui_poi_witheredfarm_2_30115;;;;true;LyShineUI/Images/Map/Icon/POIs/abandoned_farm_village.png;;100;true;true;0;;;;withered_farm_3_30115_discovered;withered_farm_3_30115_charted;withered_farm_3_30115;Music_POI;farm;false;Fertile Fields;Withered;9-14;9;LyShineUI/Images/Map/tooltipImages/mapTooltip_poi_farm.png;;0;false;
30116;@ui_poi_witheredfarm_30116;;;;true;LyShineUI/Images/Map/Icon/POIs/abandoned_farm_village.png;;100;true;true;0;;;;withered_farm_30116_discovered;withered_farm_30116_charted;withered_farm_30116;Music_POI;farm;false;Arruda Ranch;Withered;9-14;0;LyShineUI/Images/Map/tooltipImages/mapTooltip_poi_farm.png;;0;false;
30117;@ui_poi_watchtower_mb_01_30117;;;;true;LyShineUI/Images/Map/Icon/POIs/watchtower.png;;100;true;true;2;;;;;;watchtower;Music_POI;watchtower;false;Monarchs Bluffs Watchtower;;;0;LyShineUI\Images\Map\tooltipImages\mapTooltip_outpost_default.png;;0;false;
30118;@ui_poi_witheredfarm_30118;;;;true;LyShineUI/Images/Map/Icon/POIs/abandoned_fishing_village.png;;500;true;true;0;;;;withered_farm_1_30118_discovered;withered_farm_1_30118_charted;withered_farm_1_30118;Music_POI;fishing_village;false;Reedwater Fishery;Withered;8-11;8;/LyShineUI/Images/Map/tooltipImages/mapTooltip_poi_fish_1.png;;0;false;
