ObjectiveID;Type;Difficulty;DifficultyLevel;MaxInfluenceLevel;FlagPvp;CanBeShared;CanFastTravel;Task;NpcDestinationId;ExclusiveTerritory;AchievementId;RequiredAchievementId;RequiredFaction;RequiredLevel;SuccessGameEventId;FailureGameEventId;ProgressionReward;ExperienceReward;ObjectiveReward;ItemRewardName;ItemRewardQty;ShouldResetOnFactionChange;Repeatable;CanBeAbandoned;Title;Description;PlayerPrompt;ObjectiveProposalResponse;InProgressResponse;DestinationCompletionAvailablePrompt;DestinationCompletionAvailableResponse;ObjectiveCompletionResponse;ObjectiveAcceptanceResponse;HideIncompleteTurninMarker;ReleaseEventTags;ReleaseActiveOverride;SkipReqAchievmentWhenInvalid;EntitlementId;QuestArcTag
0204_0101_UndyingAppetite;Journey;;0;;false;false;false;0204_0101_d_00_Container_UndyingAppetite;0210_Barkeep;0;02_Quest_08;;;0;0204_0101_UndyingAppetite_Success;;;;;;;false;0;true;@0204_0101_UndyingAppetite_title;@0204_0101_UndyingAppetite_description;@0204_0101_UndyingAppetite_start_prompt;@0204_0101_UndyingAppetite_proposal;@0204_0101_UndyingAppetite_incomplete;@complete_available_prompt_DEFAULT;@0204_0101_UndyingAppetite_complete;;;;;;;;BrightwoodArc1
0202_0101_BlindingLight;Journey;;0;;false;false;false;0202_0101_d_00_Container_BlindingLight;0202_Magistrate;0;02_Quest_01;;;0;0202_0101_BlindingLight_Success;;;;;;;false;0;true;@0202_0101_BlindingLight_title;@0202_0101_BlindingLight_description;@0202_0101_BlindingLight_start_prompt;@0202_0101_BlindingLight_proposal;@0202_0101_BlindingLight_incomplete;@complete_available_prompt_DEFAULT;@0202_0101_BlindingLight_complete;;;;;;;;BrightwoodArc1
0202_0102_PreacherJohannes;Journey;;0;;false;false;false;0202_0102_d_00_Container_PreacherJohannes;0202_Magistrate;0;02_Quest_02;02_Quest_01;;0;0202_0102_PreacherJohannes_Success;;;;;;;false;0;true;@0202_0102_PreacherJohannes_title;@0202_0102_PreacherJohannes_description;@0202_0102_PreacherJohannes_start_prompt;@0202_0102_PreacherJohannes_proposal;@0202_0102_PreacherJohannes_incomplete;@complete_available_prompt_DEFAULT;@0202_0102_PreacherJohannes_complete;;;;;;;;BrightwoodArc1
0210_0101_UnholyGreenThumb;Journey;;0;;false;false;false;0210_0101_d_00_Container_UnholyGreenThumb;0204_Overseer;0;02_Quest_06;02_Quest_08;;0;0210_0101_UnholyGreenThumb_Success;;;;;;;false;0;true;@0210_0101_UnholyGreenThumb_title;@0210_0101_UnholyGreenThumb_description;@0210_0101_UnholyGreenThumb_start_prompt;@0210_0101_UnholyGreenThumb_proposal;@0210_0101_UnholyGreenThumb_incomplete;@complete_available_prompt_DEFAULT;@0210_0101_UnholyGreenThumb_complete;;;;;;;;BrightwoodArc1
0202_0103_HeldBelowtheSurface;Journey;;0;;false;false;false;0202_0103_d_00_Container_HeldBelowtheSurface;0202_Magistrate;0;02_Quest_03;02_Quest_02;;0;0202_0103_HeldBelowtheSurface_Success;;;;;;;false;0;true;@0202_0104_HeldBelowtheSurface_title;@0202_0103_HeldBelowtheSurface_description;@0202_0103_HeldBelowtheSurface_start_prompt;@0202_0103_HeldBelowtheSurface_proposal;@0202_0103_HeldBelowtheSurface_incomplete;@complete_available_prompt_DEFAULT;@0202_0103_HeldBelowtheSurface_complete;;;;;;;;BrightwoodArc1
0203_0101_PocketfulofMemories;Journey;;0;;false;false;false;0203_0101_d_00_Container_PocketfulofMemories;0203_Survivalist;0;02_Quest_04;02_Quest_03;;0;0203_0101_PocketfulofMemories_Success;;;;;;;false;0;true;@0203_0101_PocketfulofMemories_title;@0203_0101_PocketfulofMemories_description;@0203_0101_PocketfulofMemories_start_prompt;@0203_0101_PocketfulofMemories_proposal;@0203_0101_PocketfulofMemories_incomplete;@complete_available_prompt_DEFAULT;@0203_0101_PocketfulofMemories_complete;;;;;;;;BrightwoodArc2
0203_0102_AncientProblemsAncientSolutions;Journey;;0;;false;false;false;0203_0102_d_00_Container_AncientProblemsAncientSolutions;0202_Magistrate;0;02_Quest_05;02_Quest_04;;0;0203_0102_AncientProblemsAncientSolutions_Success;;;;;;;false;0;true;@0203_0103_AncientProblemsAncientSolutions_title;@0203_0102_AncientProblemsAncientSolutions_description;@0203_0102_AncientProblemsAncientSolutions_start_prompt;@0203_0102_AncientProblemsAncientSolutions_proposal;@0203_0102_AncientProblemsAncientSolutions_incomplete;@complete_available_prompt_DEFAULT;@0203_0102_AncientProblemsAncientSolutions_complete;;;;;;;;BrightwoodArc2
0205_0101_RuinousLabor;Journey;;0;;false;false;false;0205_0101_d_00_Container_RuinousLabor;0205_Artificer;0;02_Quest_07;02_Quest_03;;0;0205_0101_RuinousLabor_Success;;;;;;;false;0;true;@0205_0101_RuinousLabor_title;@0205_0101_RuinousLabor_description;@0205_0101_RuinousLabor_start_prompt;@0205_0101_RuinousLabor_proposal;@0205_0101_RuinousLabor_incomplete;@complete_available_prompt_DEFAULT;@0205_0101_RuinousLabor_complete;;;;;;;;
0204_0102_OfOurOwnFleshandBlood;Journey;;0;;false;false;false;0204_0102_d_00_Container_OfOurOwnFleshandBlood;0204_Overseer;0;02_Quest_09;02_Quest_04;;0;0204_0102_OfOurOwnFleshandBlood_Success;;;;;;;false;0;true;@0204_0102_OfOurOwnFleshandBlood_title;@0204_0102_OfOurOwnFleshandBlood_description;@0204_0102_OfOurOwnFleshandBlood_start_prompt;@0204_0102_OfOurOwnFleshandBlood_proposal;@0204_0102_OfOurOwnFleshandBlood_incomplete;@complete_available_prompt_DEFAULT;@0204_0102_OfOurOwnFleshandBlood_complete;;;;;;;;BrightwoodArc3
0204_0103_IsleofMadness;Journey;;0;;false;false;false;0204_0103_d_00_Container_IsleofMadness;0204_Overseer;0;02_Quest_10;02_Quest_09;;0;0204_0103_IsleofMadness_Success;;;;;;;false;0;true;@0204_0103_IsleofMadness_title;@0204_0103_IsleofMadness_description;@0204_0103_IsleofMadness_start_prompt;@0204_0103_IsleofMadness_proposal;@0204_0103_IsleofMadness_incomplete;@complete_available_prompt_DEFAULT;@0204_0103_IsleofMadness_complete;;;;;;;;BrightwoodArc3
0202_0104_Weavers_Vector;Journey;;30;;false;false;false;0202_0104_d_00_Container_Weavers_Vector;1304_Overseer;0;02_Quest_15;02_Quest_09;;0;0202_0104_Weavers_Vector_Success;;;;;;;false;0;true;@0202_0104_Weavers_Vector_title;@0202_0104_Weavers_Vector_description;@0202_0104_Weavers_Vector_start_prompt;@0202_0104_Weavers_Vector_proposal;@0202_0104_Weavers_Vector_incomplete;@complete_available_prompt_DEFAULT;@0202_0104_Weavers_Vector_complete;;;;;;;;
0210_0102_ReapersLocus;Journey;;35;;false;false;false;0210_0102_d_00_Container_ReapersLocus;0210_Barkeep;0;02_Quest_Obelisk_11;02_Quest_10;;0;0210_0102_ReapersLocus_Success;;;;;;;false;0;false;@0210_0102_ReapersLocus_title;@0210_0102_ReapersLocus_quest_description;@0210_0102_ReapersLocus_start_prompt;@0210_0102_ReapersLocus_proposal;@0210_0102_ReapersLocus_incomplete;@complete_available_prompt_DEFAULT;@0210_0102_ReapersLocus_complete;;;;;;;;
0230_0201_bellyofcorrupted;Journey;;0;;false;false;false;0230_0201_d_00_Container_bellyofcorrupted;0230_Ranger;0;02_Quest_16;;;0;0230_0201_bellyofcorrupted_Success;;;;;;;false;0;true;@0230_0201_bellyofcorrupted_title;@0230_0201_bellyofcorrupted_description;@0230_0201_bellyofcorrupted_start_prompt;@0230_0201_bellyofcorrupted_proposal;@0230_0201_bellyofcorrupted_incomplete;@complete_available_prompt_DEFAULT;@0230_0201_bellyofcorrupted_complete;;;;;;;;
0230_0202_infernalarmaments;Journey;;0;;false;false;false;0230_0202_d_00_Container_infernalarmaments;0230_Ranger;0;02_Quest_17;02_Quest_16;;0;0230_0202_infernalarmaments_Success;;;;;;;false;0;true;@0230_0202_infernalarmaments_title;@0230_0202_infernalarmaments_description;@0230_0202_infernalarmaments_start_prompt;@0230_0202_infernalarmaments_proposal;@0230_0202_infernalarmaments_incomplete;@complete_available_prompt_DEFAULT;@0230_0202_infernalarmaments_complete;;;;;;;;
0230_0203_blacksmithbetrayer;Journey;;0;;false;false;false;0230_0203_d_00_Container_blacksmithbetrayer;0230_Ranger;0;02_Quest_18;02_Quest_17;;0;0230_0203_blacksmithbetrayer_Success;;;;;;;false;0;true;@0230_0203_blacksmithbetrayer_title;@0230_0203_blacksmithbetrayer_description;@0230_0203_blacksmithbetrayer_start_prompt;@0230_0203_blacksmithbetrayer_proposal;@0230_0203_blacksmithbetrayer_incomplete;@complete_available_prompt_DEFAULT;@0230_0203_blacksmithbetrayer_complete;;;;;;;;
0231_0201_locationscout;Journey;;26;;false;false;false;0231_0201_d_00_Container_locationscout;0231_Painter;0;02_Quest_19;;;0;0231_0201_locationscout_Success;;;;;;;false;0;true;@0231_0201_locationscout_title;@0231_0201_locationscout_description;@0231_0201_locationscout_start_prompt;@0231_0201_locationscout_proposal;@0231_0201_locationscout_incomplete;@complete_available_prompt_DEFAULT;@0231_0201_locationscout_complete;;;;;;;;
0231_0202_eyeforreflection;Journey;;27;;false;false;false;0231_0202_d_00_Container_eyeforreflection;0231_Painter;0;02_Quest_20;02_Quest_19;;0;0231_0202_eyeforreflection_Success;;;;;;;false;0;true;@0231_0202_eyeforreflection_title;@0231_0202_eyeforreflection_description;@0231_0202_eyeforreflection_start_prompt;@0231_0202_eyeforreflection_proposal;@0231_0202_eyeforreflection_incomplete;@complete_available_prompt_DEFAULT;@0231_0202_eyeforreflection_complete;;;;;;;;
0231_0203_wolcottsmasterpiece;Journey;;28;;false;false;false;0231_0203_d_00_Container_wolcottsmasterpiece;0231_Painter;0;02_Quest_21;02_Quest_20;;0;0231_0203_wolcottsmasterpiece_Success;;;;;;;false;0;true;@0231_0203_wolcottsmasterpiece_title;@0231_0203_wolcottsmasterpiece_description;@0231_0203_wolcottsmasterpiece_start_prompt;@0231_0203_wolcottsmasterpiece_proposal;@0231_0203_wolcottsmasterpiece_incomplete;@complete_available_prompt_DEFAULT;@0231_0203_wolcottsmasterpiece_complete;;;;;;;;
0232_0201_asimpletea;Journey;;0;;false;false;false;0232_0201_d_00_Container_asimpletea;0232_Naturalist;0;02_Quest_22;;;0;0232_0201_asimpletea_Success;;;;;;;false;0;true;@0232_0201_asimpletea_title;@0232_0201_asimpletea_description;@0232_0201_asimpletea_start_prompt;@0232_0201_asimpletea_proposal;@0232_0201_asimpletea_incomplete;@complete_available_prompt_DEFAULT;@0232_0201_asimpletea_complete;;;;;;;;
0232_0202_hiddensecrets;Journey;;0;;false;false;false;0232_0202_d_00_Container_hiddensecrets;0232_Naturalist;0;02_Quest_23;02_Quest_22;;0;0232_0202_hiddensecrets_Success;;;;;;;false;0;true;@0232_0202_hiddensecrets_title;@0232_0202_hiddensecrets_description;@0232_0202_hiddensecrets_start_prompt;@0232_0202_hiddensecrets_proposal;@0232_0202_hiddensecrets_incomplete;@complete_available_prompt_DEFAULT;@0232_0202_hiddensecrets_complete;;;;;;;;
0232_0203_verdantadelphia;Journey;;0;;false;false;false;0232_0203_d_00_Container_verdantadelphia;0232_Naturalist;0;02_Quest_24;02_Quest_23;;0;0232_0203_verdantadelphia_Success;;;;;;;false;0;true;@0232_0203_verdantadelphia_title;@0232_0203_verdantadelphia_description;@0232_0203_verdantadelphia_start_prompt;@0232_0203_verdantadelphia_proposal;@0232_0203_verdantadelphia_incomplete;@complete_available_prompt_DEFAULT;@0232_0203_verdantadelphia_complete;;;;;;;;
