TaskID;Type;FailOnCondition;StayActive;TargetQty;ItemName;ItemDropVC;ItemDropProbability;ChestDropProbability;EnforceLocationRequirement;TerritoryID;POITag;LootTag;PauseAndClearLootOnTaskComplete;AwardOnlyOnce;ShouldCheckPoints;GuranteedDropAttempts;TargetThreshold;CraftingRecipeId;CraftAnyRecipe;InteractTag;UIScreenTag;TriggerAreaType;KillEnemyType;KillEnemyWeaponID;Duration;TaskBuySellType;IsPurchaseOrEarn;IsExactMatch;UseTypeAffix;TypeAffix;UseMatAffix;MatAffix;UseMagicAffix;MagicAffix;MapMarkerMapIcon;MapMarkerTitleLocTag;MapMarkerDescriptionLocTag;MapMarkerWorldPositionX;MapMarkerWorldPositionY;MapMarkerWorldDistanceThreshold;UseLargeItemDisplay;TP_TargetTag;TP_DescriptionTag;TargetDescriptionTaskId;OverrideLocation;TP_StayComplete;IsHidden;CompletedNotificationId;GridLayout;CommunityGoalTag;HideChildren;TriggerAnalyticsEvent;SubTask1;SubTask2;SubTask3;SubTask4;SubTask5
0204_0101_d_00_Container_UndyingAppetite;SimpleTaskContainer;;0;0;;;0;0;false;;;;false;false;false;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0204_0101_d_01_Container_UndyingAppetite;0204_0101_d_02_Container_UndyingAppetite;;;
0204_0101_d_01_Container_UndyingAppetite;ConsecutiveTaskContainer;;0;0;;;0;0;false;;;;false;false;false;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;1;;;;;;0204_0101_d_01_01_Task_Goto;0204_0101_d_01_02_Container_UndyingAppetite;;;
0204_0101_d_01_01_Task_Goto;TaskGoToPOITag;;1;0;;;0;0;false;;abandoned_village_40310;;false;false;false;;;;;;;;;;;;;;;;;;;;;;;;;;0;;@0204_0101_d_01_Task_Goto;;;;;;;;;;;;;;
0204_0101_d_01_02_Container_UndyingAppetite;SimpleTaskContainer;;0;0;;;0;0;false;;;;false;false;false;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;1;;;;;;0203_0101_d_01_02_01_Task_Fetch;0204_0101_d_01_02_02_Task_Fetch;;;
0203_0101_d_01_02_01_Task_Fetch;TaskGatherAndReturnItems;;1;6;0204_0101_SoilCoveredBones;0201_DirtPile;100;0;true;;abandoned_village_40310;;true;false;false;;;;;IO_0201_DirtPile;;;;;;;;;;;;;;;;;;;;;0;;@0204_0101_d_01_02_01_Task_Fetch;;;;;;;;;;;;;;
0204_0101_d_01_02_02_Task_Fetch;TaskHaveAndReturnItems;;1;2;0204_0101_EerilyGlowingFertilizer;Undead_Gravedigger;100;0;true;;abandoned_village_40310;;true;false;false;;;;;;;;;;;;;;;;;;;;;;;;;;0;;@0204_0101_d_01_02_02_Task_Fetch;;;;;;;;;;;;;;
0204_0101_d_02_Container_UndyingAppetite;ConsecutiveTaskContainer;;0;0;;;0;0;false;;;;false;false;false;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;1;;;;;;0203_0101_d_02_01_Task_Goto;0203_0101_d_02_02_Task_Fetch;;;
0203_0101_d_02_01_Task_Goto;TaskGoToPOITag;;1;0;;;0;0;false;;abandoned_village_40328;;false;false;false;;;;;;;;;;;;;;;;;;;;;;;;;;0;;@0204_0101_d_02_01_Task_Goto;;;;;;;;;;;;;;
0203_0101_d_02_02_Task_Fetch;TaskHaveAndReturnItems;;1;3;0205_0101_EmptyAzothApplicator;Nightmare;100;0;true;;abandoned_village_40328;;true;false;false;;;;;;;;;;;;;;;;;;;;;;;;;;0;;@0204_0101_d_02_02_Task_Fetch;;;;;;;;;;;;;;
0202_0101_d_00_Container_BlindingLight;ConsecutiveTaskContainer;;0;0;;;0;0;false;;;;false;false;false;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0202_0101_d_01_Task_Goto;0202_0101_d_02_Container_BlindingLight;;;
0202_0101_d_01_Task_Goto;TaskGoToPOITag;;1;0;;;0;0;false;;abandoned_village_40328;;false;false;false;;;;;;;;;;;;;;;;;;;;;;;;;;0;;@0202_0101_d_01_Task_Goto;;;;;;;;;;;;;;
0202_0101_d_02_Container_BlindingLight;ConsecutiveTaskContainer;;0;0;;;0;0;false;;;;false;false;false;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;1;;;;;;0202_0101_d_02_01_Task_Kill;0202_0101_d_02_02_Task_Fetch;;;
0202_0101_d_02_01_Task_Kill;TaskKillContribution;;1;1;;;0;0;true;;abandoned_village_40328;;false;false;false;;;;;;;;Undead_Hunter_Named_00;;;;;;;;;;;;;;;;;;0;;@0202_0101_d_03_Task_Kill;;;;;;;;;;;;;;
0202_0101_d_02_02_Task_Fetch;TaskGatherAndReturnItems;;1;1;0202_0101_InquisitorsTools;0202_0101_Inquisitor;100;0;true;;abandoned_village_40328;;true;false;false;;;;;IO_0202_0101_Inquisitor;;;;;;;;;;;;;;;;;;;;;0;;@0202_0101_d_02_Task_Fetch;;10005.94 6530.87 266.60;1;;;;;;;;;;;
0202_0102_d_00_Container_PreacherJohannes;ConsecutiveTaskContainer;;0;0;;;0;0;false;;;;false;false;false;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0202_0102_d_01_Container_PreacherJohannes;0202_0102_d_02_Container_PreacherJohannes;;;
0202_0102_d_01_Container_PreacherJohannes;ConsecutiveTaskContainer;;0;0;;;0;0;false;;;;false;false;false;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;1;;;;;;0202_0102_d_01_01_Task_Goto;0202_0102_d_01_02_Task_Fetch;;;
0202_0102_d_01_01_Task_Goto;TaskGoToPOITag;;1;0;;;0;0;false;;abandoned_village_40260;;false;false;false;;;;;;;;;;;;;;;;;;;;;;;;;;0;;@0202_0102_d_03_Task_Goto;;;;;;;;;;;;;;
0202_0102_d_01_02_Task_Fetch;TaskHaveAndReturnItems;;1;3;0202_0102_BrackwaterRitebook;;0;100;true;;abandoned_village_40260;;true;false;false;;;;;;;;;;;;;;;;;;;;;;;;;;0;;@0202_0102_d_04_Task_Fetch;;;;;;;;;;;;;;
0202_0102_d_02_Container_PreacherJohannes;ConsecutiveTaskContainer;;0;0;;;0;0;false;;;;false;false;false;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;1;;;;;;0202_0102_d_02_01_Task_Goto;0202_0102_d_02_02_Task_KillToken;;;
0202_0102_d_02_01_Task_Goto;TaskGoToPOITag;;1;0;;;0;0;false;;abandoned_village_40261;;false;false;false;;;;;;;;;;;;;;;;;;;;;;;;;;0;;@0202_0102_d_01_Task_Goto;;;;;;;;;;;;;;
0202_0102_d_02_02_Task_KillToken;TaskHaveAndReturnItems;;1;5;0202_0102_AzothStainedAmulet;Anointed;85;0;false;;abandoned_village_40261;;true;false;false;;;;;;;;;;;;;;;;;;;;;;;;;;0;;@0202_0102_d_02_Task_KillToken;;;;;;;;;;;;;;
0210_0101_d_00_Container_UnholyGreenThumb;ConsecutiveTaskContainer;;0;0;;;0;0;false;;;;false;false;false;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0210_0101_d_01_Container_UnholyGreenThumb;0210_0101_d_02_Container_UnholyGreenThumb;0210_0101_d_03_Container_UnholyGreenThumb;0210_0101_d_04_Container_UnholyGreenThumb;
0210_0101_d_01_Container_UnholyGreenThumb;ConsecutiveTaskContainer;;0;0;;;0;0;false;;;;false;false;false;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;1;;;;;;0210_0101_d_01_01_Task_Goto;0210_0101_d_01_02_Task_KillToken;;;
0210_0101_d_01_01_Task_Goto;TaskGoToPOITag;;1;0;;;0;0;false;;abandoned_village_40260;;false;false;false;;;;;;;;;;;;;;;;;;;;;;;;;;0;;@0210_Task_Goto;;;;;;;;;;;;;;
0210_0101_d_01_02_Task_KillToken;TaskHaveAndReturnItems;;1;2;0210_0101_BrackwaterSoil;Undead;85;0;true;;abandoned_village_40260;;true;false;false;;;;;;;;;;;;;;;;;;;;;;;;;;0;;@0210_0101_d_02_Task_KillToken;;;;;;;;;;;;;;
0210_0101_d_02_Container_UnholyGreenThumb;ConsecutiveTaskContainer;;0;0;;;0;0;false;;;;false;false;false;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;1;;;;;;0210_0101_d_02_01_Task_Goto;0210_0101_d_02_02_Task_KillToken;;;
0210_0101_d_02_01_Task_Goto;TaskGoToPOITag;;1;0;;;0;0;false;;abandoned_village_40256;;false;false;false;;;;;;;;;;;;;;;;;;;;;;;;;;0;;@0210_Task_Goto;;;;;;;;;;;;;;
0210_0101_d_02_02_Task_KillToken;TaskHaveAndReturnItems;;1;2;0210_0101_PiousSoil;Anguished;85;0;true;;abandoned_village_40256;;true;false;false;;;;;;;;;;;;;;;;;;;;;;;;;;0;;@0210_0101_d_01_Task_KillToken;;;;;;;;;;;;;;
0210_0101_d_03_Container_UnholyGreenThumb;ConsecutiveTaskContainer;;0;0;;;0;0;false;;;;false;false;false;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;1;;;;;;0210_0101_d_03_01_Task_Goto;0210_0101_d_03_02_Task_KillToken;;;
0210_0101_d_03_01_Task_Goto;TaskGoToPOITag;;1;0;;;0;0;false;;abandoned_village_40254;;false;false;false;;;;;;;;;;;;;;;;;;;;;;;;;;0;;@0210_Task_Goto;;;;;;;;;;;;;;
0210_0101_d_03_02_Task_KillToken;TaskHaveAndReturnItems;;1;2;0210_0101_TerminusSoil;Ebonsoul;85;0;true;;abandoned_village_40254;;true;false;false;;;;;;;;;;;;;;;;;;;;;;;;;;0;;@0210_0101_d_03_Task_KillToken;;;;;;;;;;;;;;
0210_0101_d_04_Container_UnholyGreenThumb;ConsecutiveTaskContainer;;0;0;;;0;0;false;;;;false;false;false;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;1;;;;;;0210_0101_d_04_01_Task_Goto;0210_0101_d_04_02_Task_KillToken;;;
0210_0101_d_04_01_Task_Goto;TaskGoToPOITag;;1;0;;;0;0;false;;abandoned_village_40253;;false;false;false;;;;;;;;;;;;;;;;;;;;;;;;;;0;;@0210_Task_Goto;;;;;;;;;;;;;;
0210_0101_d_04_02_Task_KillToken;TaskHaveAndReturnItems;;1;1;0210_0101_RootedSoil;Undead_Javelineer_Named_02;100;0;true;;abandoned_village_40253;;true;false;false;;;;;;;;;;;;;;;;;;;;;;;;;;0;;@0210_0101_d_04_Task_KillToken;;9730. 5782.922 205.639;;;;;;;;;;;;
0202_0103_d_00_Container_HeldBelowtheSurface;SimpleTaskContainer;;0;0;;;0;0;false;;;;false;false;false;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0202_0103_d_01_Container_HeldBelowtheSurface;0202_0103_d_02_Container_HeldBelowtheSurface;;;
0202_0103_d_01_Container_HeldBelowtheSurface;ConsecutiveTaskContainer;;0;0;;;0;0;false;;;;false;false;false;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;1;;;;;;0202_0103_d_01_01_Task_Goto;0202_0103_d_01_01_Task_KillToken;;;
