TaskID;Type;FailOnCondition;StayActive;TargetQty;ItemName;ItemDropVC;ItemDropProbability;ChestDropProbability;UseGlobalStorage;EnforceLocationRequirement;TerritoryID;POITag;GameModeID;LootTag;PauseAndClearLootOnTaskComplete;AwardOnlyOnce;ShouldCheckPoints;GuranteedDropAttempts;TargetThreshold;CraftingRecipeId;CraftAnyRecipe;InteractTag;UIScreenTag;TriggerAreaType;KillEnemyType;KillEnemyWeaponID;Duration;TaskBuySellType;IsPurchaseOrEarn;IsExactMatch;UseTypeAffix;TypeAffix;UseMatAffix;MatAffix;UseMagicAffix;MagicAffix;MapMarkerMapIcon;MapMarkerTitleLocTag;MapMarkerDescriptionLocTag;MapMarkerWorldPositionX;MapMarkerWorldPositionY;MapMarkerWorldDistanceThreshold;UseLargeItemDisplay;TP_TargetTag;TP_DescriptionTag;TargetDescriptionTaskId;OverrideLocation;IsHidden;CompletedNotificationId;GridLayout;CommunityGoalTag;HideChildren;TriggerAnalyticsEvent;SubTask1;SubTask2;SubTask3;SubTask4;SubTask5
0502_0101_d_00_container_ancientscholar;ConsecutiveTaskContainer;;0;0;;;0;0;false;false;;;;;false;false;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;0;;;;;;0502_0101_d_01_GiveAndTake_ImpressionKit;0502_0101_d_02_TaskGoToPOITag_SunkenAspect;0502_0101_d_03_container_ancientscholar;;
0502_0101_d_01_GiveAndTake_ImpressionKit;TaskGiveAndTakeItem;;1;1;0502_0101_ImpressionKit;;100;0;false;false;;;;;false;false;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;
0502_0101_d_02_TaskGoToPOITag_SunkenAspect;TaskGoToPOITag;;1;0;;;0;0;false;true;;Flooded_Ruins_50125;;;false;false;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;@0502_0101_ancientscholar_goto_POI;;;0;;;;;;;;;;
0502_0101_d_03_container_ancientscholar;SimpleTaskContainer;;0;0;;;0;0;false;false;;;;;false;false;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;1;;;;;;0502_0101_d_03_01_TaskGatherAndReturnItems_2_AncientStoneTablet;0502_0101_d_03_01a_TaskGameEvent_AncientStoneTablet_2ndMarker;0502_0101_d_03_02_TaskGatherAndReturnItems_1_StoneTabletRubbing;;
0502_0101_d_03_01_TaskGatherAndReturnItems_2_AncientStoneTablet;TaskGatherAndReturnItems;;1;2;0502_0101_AncientStoneTablet;0509_StoneTablet_00;100;0;false;true;;Flooded_Ruins_50125;;;true;false;;;;;;IO_0509_StoneTablet_00;;;;;0;;;;;;;;;;;;;;;;;;@0502_0101_ancientscholar_find_items_at_location;;10703.554 3201.941 90.187;0;;;;;;;;;;
0502_0101_d_03_01a_TaskGameEvent_AncientStoneTablet_2ndMarker;TaskGameEvent;;1;1;;;0;0;false;true;;Flooded_Ruins_50125;;;false;false;;;;;;IO_0509_StoneTablet_00;;;0509_StoneTablet_00_interact;;0;;;;;;;;;;;;;;;;;;;;10757.800 3158.005 83.736;1;;;;;;;;;;
0502_0101_d_03_02_TaskGatherAndReturnItems_1_StoneTabletRubbing;TaskGatherAndReturnItems;;1;1;0502_0101_StoneTabletRubbing;0514_StoneWallTablet;100;0;false;true;;Flooded_Ruins_50125;;;true;false;;;;;;IO_0514_StoneWallTablet;;;;;0;;;;;;;;;;;;;;;;;;@0502_0101_ancientscholar_find_item_at_location;;10786.939 3183.230 89.791;0;;;;;;;;;;
0502_0102_d_00_container_hopespringseternal;ConsecutiveTaskContainer;;0;0;;;0;0;false;false;;;;;false;false;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;0;;;;;;0502_0102_d_01_TaskGoToPOITag_SkyviewRepose;0502_0102_d_02_TaskAchievement_GetQuestLorePage_ImpassableBarrier;0502_0102_d_03_HaveAndReturn_MedicusOrb;0502_0102_d_04_container_hopespringseternal_doorContainer;
0502_0102_d_01_TaskGoToPOITag_SkyviewRepose;TaskGoToPOITag;;1;0;;;0;0;false;true;;Hilltop_Ruins_50118;;;false;false;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;@0502_0102_hopespringseternal_goto_POI;;;0;;;;;;;;;;
0502_0102_d_02_TaskAchievement_GetQuestLorePage_ImpassableBarrier;TaskAchievement;;1;0;Lore_unlock_05_Reekwater_Title_02_01;;0;0;false;false;;;;;false;false;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;@0502_0102_hopespringseternal_find_lore_page;;10588.585 3796.599 248.359;0;;;;;;;;;;
