TaskID;Type;FailOnCondition;StayActive;TargetQty;ItemName;ItemDropVC;ItemDropProbability;ChestDropProbability;EnforceLocationRequirement;TerritoryID;POITag;GameModeID;LootTag;PauseAndClearLootOnTaskComplete;AwardOnlyOnce;ShouldCheckPoints;GuranteedDropAttempts;TargetThreshold;CraftingRecipeId;CraftAnyRecipe;InteractTag;UIScreenTag;TriggerAreaType;KillEnemyType;KillEnemyWeaponID;Duration;TaskBuySellType;IsPurchaseOrEarn;IsExactMatch;UseTypeAffix;TypeAffix;UseMatAffix;MatAffix;UseMagicAffix;MagicAffix;MapMarkerMapIcon;MapMarkerTitleLocTag;MapMarkerDescriptionLocTag;MapMarkerWorldPositionX;MapMarkerWorldPositionY;MapMarkerWorldDistanceThreshold;UseLargeItemDisplay;TP_TargetTag;TP_DescriptionTag;OverrideLocation;IsHidden;CompletedNotificationId;GridLayout;CommunityGoalTag;HideChildren;TriggerAnalyticsEvent;SubTask1;SubTask2;SubTask3;SubTask4;SubTask5
0802_0801_d_00_container_TheShowMustGoOn;SimpleTaskContainer;;0;0;;;0;0;false;;;;;false;false;;0;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;0;;;;;;0802_0801_d_01_TaskHaveAndReturnItems_8_Pigment;;;;
0802_0801_d_01_TaskHaveAndReturnItems_8_Pigment;TaskGatherAndReturnItems;;1;8;0801_0101_BlackPigment;PigmentPlantBlack;100;0;false;;;;;true;false;;0;;;;;;;;;0;;;;;;;;;;;;;;;;;;@0802_0801_d_01_TaskHaveAndReturnItems_8_Pigment;;0;;;;;;;;;;
0811_0802_d_00_container_StatuetteStash;SimpleTaskContainer;;0;0;;;0;0;false;;;;;false;false;;0;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;0;;;;;;0811_0802_d_01_TaskHaveAndReturnItems_1_Air;0811_0802_d_02_TaskHaveAndReturnItems_1_Water;0811_0802_d_03_TaskHaveAndReturnItems_1_Earth;0811_0802_d_04_TaskHaveAndReturnItems_1_Fire;
0811_0802_d_01_TaskHaveAndReturnItems_1_Air;TaskGatherAndReturnItems;;1;1;0802_0101_AirDragonStatuette;0802_Airshrine;100;0;true;;dynasty_shrine_30302;;;true;true;;0;;;;IO_0802_Airshrine;;;0802_AirShrine_interact;;0;;;;;;;;;;;;;;;;;;@0811_0802_d_01_TaskHaveAndReturnItems_1_Air;;0;;;;;;;;;;
0811_0802_d_02_TaskHaveAndReturnItems_1_Water;TaskGatherAndReturnItems;;1;1;0802_0102_WaterDragonStatuette;0802_Watershrine;100;0;true;;Dynasty_WaterShrine_30234;;;true;true;;0;;;;IO_0802_Watershrine;;;0802_WaterShrine_interact;;0;;;;;;;;;;;;;;;;;;@0811_0802_d_02_TaskHaveAndReturnItems_1_Water;;0;;;;;;;;;;
0811_0802_d_03_TaskHaveAndReturnItems_1_Earth;TaskGatherAndReturnItems;;1;1;0802_0103_EarthDragonStatuette;0802_Earthshrine;100;0;true;;Dynasty_EarthShrine_30231;;;true;true;;0;;;;IO_0802_Earthshrine;;;0802_EarthShrine_interact;;0;;;;;;;;;;;;;;;;;;@0811_0802_d_03_TaskHaveAndReturnItems_1_Earth;;0;;;;;;;;;;
0811_0802_d_04_TaskHaveAndReturnItems_1_Fire;TaskGatherAndReturnItems;;1;1;0802_0104_FireDragonStatuette;0802_Fireshrine;100;0;true;;Dynasty_FireShrine_30228;;;true;true;;0;;;;IO_0802_Fireshrine;;;0802_FireShrine_interact;;0;;;;;;;;;;;;;;;;;;@0811_0802_d_04_TaskHaveAndReturnItems_1_Fire;;0;;;;;;;;;;
0811_0803_d_00_container_EndOfHerReign;ConsecutiveTaskContainer;;0;0;;;0;0;false;;;;;false;false;;0;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;0;;;;;;0811_0803_d_00a_GiveKey;0811_0803_d_01_TaskGoToPOITag_dungeon;0811_0803_d_02_TaskKillContribution_ZhouTaiying;;
0811_0803_d_00a_GiveKey;TaskGiveItem;;1;1;KeyDynasty;;0;0;false;;;;;false;true;;0;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;
0811_0803_d_01_TaskGoToPOITag_dungeon;TaskGoToPOITag;;1;0;;;0;0;false;;dungeon_entrance_20204;;;false;false;;0;;;;;;;;;0;;;;;;;;;;;;;;;;;;@0811_0803_d_01_TaskGoToPOITag_dungeon;;0;;;;;;;;;;
