TaskID;Type;FailOnCondition;StayActive;TargetQty;ItemName;ItemDropVC;ItemDropProbability;ChestDropProbability;EnforceLocationRequirement;TerritoryID;POITag;LootTag;PauseAndClearLootOnTaskComplete;AwardOnlyOnce;ShouldCheckPoints;GuranteedDropAttempts;TargetThreshold;CraftingRecipeId;CraftAnyRecipe;InteractTag;UIScreenTag;TriggerAreaType;KillEnemyType;KillEnemyWeaponID;Duration;TaskBuySellType;IsPurchaseOrEarn;IsExactMatch;UseTypeAffix;TypeAffix;UseMatAffix;MatAffix;UseMagicAffix;MagicAffix;MapMarkerMapIcon;MapMarkerTitleLocTag;MapMarkerDescriptionLocTag;MapMarkerWorldPositionX;MapMarkerWorldPositionY;MapMarkerWorldDistanceThreshold;UseLargeItemDisplay;TP_TargetTag;TP_DescriptionTag;TargetDescriptionTaskId;OverrideLocation;IsHidden;CompletedNotificationId;GridLayout;CommunityGoalTag;HideChildren;TriggerAnalyticsEvent;SubTask1;SubTask2;SubTask3;SubTask4;SubTask5
0901_0100_d_00_container_getoffbeach;SimpleTaskContainer;;;0;;;0;0;false;;;;;false;false;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;@objective_story_task_getoffthebeach;;;;;;;;;0901_0100_d_02_task_goto_watchtower;;;;
0901_0100_d_02_task_goto_watchtower;TaskGoToPOITag;;1;0;;;0;0;false;9;watchtower;;;false;false;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;@objective_onboarding_goToOutpost_task01_desc;;;;;;;;;;;;;
0901_0101_d_00_container_culldrowned;SimpleTaskContainer;;;0;;;0;0;false;;;;;false;false;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;;;;;;;;;;0901_0101_d_02_TaskGoToPOITag_drowned_shipwreck_2;0901_0101_d_03_kill_3_Drowned;;;
0901_0101_d_01_open_map_shipwreck;TaskOpenUiScreen;;;1;;;0;0;false;;;;;false;false;;;;;;Map;;;;0;;;;;;;;;;;;;;;;0;;@0901_0101_d_01_task;;;;;;;;;;;;;
0901_0101_d_02_TaskGoToPOITag_drowned_shipwreck_2;TaskGoToPOITag;;1;0;;;0;0;false;;shipwreck_40007;;;false;false;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;@0901_0101_d_02_task;;;;;;;;;;;;;
0901_0101_d_03_kill_3_Drowned;TaskKillContribution;;1;3;;;0;0;false;;shipwreck_40007;;;false;false;;;;;;;;Drowned;;0;;;;;;;;;;;;;;;;0;;@0901_0101_d_03_task;;;;;;;;;;;;;
0901_0102_d_00_container_campandtools;ConsecutiveTaskContainer;;;0;;;0;0;false;;;;;false;false;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;;;;;;;;;;0901_0102_d_01_container_campandtools_gather;0901_0102_d_02_TaskHaveItems_1_1hSkinningKnifeT1;;;
0901_0102_d_01_container_campandtools_gather;SimpleTaskContainer;;;0;;;0;0;false;;;;;false;false;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;;;;1;;;;;;0901_0102_d_01_01_TaskHaveItems_1_FlintT1;0901_0102_d_01_02_TaskHaveItems_1_WoodT1;;;
0901_0102_d_01_01_TaskHaveItems_1_FlintT1;TaskHaveItems;;;1;FlintT1;;0;0;false;;;;;false;false;;;;;;;;;;0;;;;;;;;;;;;;;;;1;;@0901_0102_d_02_task;;;;;;;;;;;;;
0901_0102_d_01_02_TaskHaveItems_1_WoodT1;TaskHaveItems;;;1;WoodT1;;0;0;false;;;;;false;false;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;@0901_0102_d_03_task;;;;;;;;;;;;;
0901_0102_d_02_TaskHaveItems_1_1hSkinningKnifeT1;TaskHaveItems;;;1;1hSkinningKnifeT1;;0;0;false;9;watchtower;;;false;false;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;@0901_0102_d_04_task;;9739.80 337.22 45.20;;;;;;;;;;;
0901_0103_d_00_container_boarproblem;ConsecutiveTaskContainer;;;0;;;0;0;false;;;;;false;false;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;;;;;;;;;;0901_0103_d_01_kill_1_Boar;0901_0103_d_02_equip_skinning;0901_0103_d_03_TaskGatherItems_1_RedMeatT1;0901_0103_d_04_TaskGameEvent_1_Craft_CookingT1;0901_0103_d_05_TaskHaveItems_1_LightRation
0901_0103_d_01_kill_1_Boar;TaskKillContribution;;;1;;;0;0;false;;;;;false;false;;;;;;;;Boar;;0;;;;;;;;;;;;;;;;0;;@0901_0103_d_01_task;;9743.953 398.832 55.843;;;;;;;;;;;
0901_0103_d_02_equip_skinning;TaskEquipItem;;;1;1hSkinningKnifeT1;;0;0;false;;;;;false;false;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;@0901_0103_d_02_task;;9743.953 398.832 55.843;;;;;;;;;;;
0901_0103_d_03_TaskGatherItems_1_RedMeatT1;TaskGatherItems;;;1;PorkT1;Boar;100;0;false;;;;;false;false;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;@0901_0103_d_03_task;;9743.953 398.832 55.843;;;;;;;;;;;
0901_0103_d_04_TaskGameEvent_1_Craft_CookingT1;TaskCraftRecipe;;;1;;;0;0;false;9;watchtower;;;false;false;;;Procedural_HealthRecoveryT1;;;;;;;0;;;;;;;;;;;;;;;;0;;@0901_0103_d_04_task;;9739.80 337.22 45.20;;;;;;;;;;;
0901_0103_d_05_TaskHaveItems_1_LightRation;TaskHaveItems;;1;1;FoodHealthRecoveryT1;;0;0;false;;;;;false;false;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;;;;1;;;;;;;;;;
0901_0104_d_00_container_xmarksthespot;ConsecutiveTaskContainer;;;0;;;0;0;false;;;;;false;false;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;;;;;;;;;;0901_0104_d_01_TaskGoToPOITag_shipwreck_40005;0901_0104_d_02_container_xmarksthespot_lorepages;0901_0104_d_03_container_xmarksthespot_locker;0901_0104_d_04_TaskGoToPOITag_shipwreck_40004;0901_0104_d_05_container_xmarksthespot_flags
0901_0104_d_01_TaskGoToPOITag_shipwreck_40005;TaskGoToPOITag;;;0;;;0;0;false;;shipwreck_40005;;;false;false;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;@0901_0104_xmarksthespot_GoTo_POI_search;;;;;;;;;;;;;
0901_0104_d_02_container_xmarksthespot_lorepages;SimpleTaskContainer;;;0;;;0;0;false;;shipwreck_40005;;;false;false;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;@0901_0104_xmarksthespot_POIRef_shipwreck_40005;;;;;;;;;0901_0104_d_02_01_TaskAchievement_ShipsRoster_shipwreck_40005;0901_0104_d_02_02_TaskAchievement_ShipsManifest_shipwreck_40005;0901_0104_d_02_03_TaskAchievement_ShipsLog_shipwreck_40005;;
0901_0104_d_02_01_TaskAchievement_ShipsRoster_shipwreck_40005;TaskAchievement;;;1;Lore_unlock_09_FirstLight_Title_11_01;;0;0;true;;shipwreck_40005;;;false;false;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;@0901_0104_xmarksthespot_collect_shipsroster;;9868.855 276.170 42.598;;;;;;;;;;;
0901_0104_d_02_02_TaskAchievement_ShipsManifest_shipwreck_40005;TaskAchievement;;;1;Lore_unlock_09_FirstLight_Title_11_03;;0;0;true;;shipwreck_40005;;;false;false;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;@0901_0104_xmarksthespot_collect_shipsmanifest;;9858.940 266.077 40.374;;;;;;;;;;;
0901_0104_d_02_03_TaskAchievement_ShipsLog_shipwreck_40005;TaskAchievement;;;1;Lore_unlock_09_FirstLight_Title_11_02;;0;0;true;;shipwreck_40005;;;false;false;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;@0901_0104_xmarksthespot_collect_shipslog;;9929.145 302.392 40.834;;;;;;;;;;;
0901_0104_d_03_container_xmarksthespot_locker;ConsecutiveTaskContainer;;;0;;;0;0;false;;shipwreck_40006;;;false;false;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;;;;1;;;;;;0901_0104_d_03_01_TaskGoToPOITag_shipwreck_40006;0901_0104_d_03_02_TaskGatherAndReturnItems_ShipsLocker_shipwreck_40006;;;
