TaskID;Type;FailOnCondition;StayActive;TargetQty;ItemName;ItemDropVC;ItemDropProbability;ChestDropProbability;EnforceLocationRequirement;TerritoryID;POITag;LootTag;PauseAndClearLootOnTaskComplete;AwardOnlyOnce;ShouldCheckPoints;GuranteedDropAttempts;TargetThreshold;CraftingRecipeId;CraftAnyRecipe;InteractTag;UIScreenTag;TriggerAreaType;KillEnemyType;KillEnemyWeaponID;Duration;TaskBuySellType;IsPurchaseOrEarn;IsExactMatch;UseTypeAffix;TypeAffix;UseMatAffix;MatAffix;UseMagicAffix;MagicAffix;MapMarkerMapIcon;MapMarkerTitleLocTag;MapMarkerDescriptionLocTag;MapMarkerWorldPositionX;MapMarkerWorldPositionY;MapMarkerWorldDistanceThreshold;UseLargeItemDisplay;TP_TargetTag;TP_DescriptionTag;TargetDescriptionTaskId;OverrideLocation;IsHidden;CompletedNotificationId;GridLayout;CommunityGoalTag;HideChildren;TriggerAnalyticsEvent;SubTask1;SubTask2;SubTask3;SubTask4;SubTask5
1010_0101_seadog_brew_container;ConsecutiveTaskContainer;0;0;0;;;0;0;false;;;;false;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;0;;;;;;1010_0101_d_01;1010_0101_d_02_container;;;
1010_0101_d_01;TaskGoToPOITag;0;0;0;;;0;0;true;;fishing_village_30007;;true;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;@1010_0101_d_01;;;0;;;;;;;;;;
1010_0101_d_02_container;SimpleTaskContainer;0;1;0;;;0;0;false;;;;false;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;1;;;;;;1010_0101_d_03;1010_0101_d_04;1010_0101_d_05;1010_0101_d_06;
1010_0101_d_03;TaskHaveAndReturnItems;0;1;4;1010_0101_swampys_saucepans;Risen_L-R_Arm_10WS03;100;0;true;;fishing_village_30007;;true;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;@10_task_haveItem_enemy_singular;;;0;;;;;;;;;;
1010_0101_d_04;TaskHaveAndReturnItems;0;1;2;1010_0101_swampys_stewpots;Alligator_Strange_10WS03;100;0;true;;fishing_village_30007;;true;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;@10_task_haveItem_enemy_singular;;;0;;;;;;;;;;
1010_0101_d_05;TaskHaveAndReturnItems;0;1;1;1010_0101_swampys_stockpot;Ghost_Shipwrecked_10WS03;100;0;true;;fishing_village_30007;;true;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;@10_task_haveItem_enemy_singular_con;;;0;;;;;;;;;;
1010_0101_d_06;TaskHaveAndReturnItems;0;1;1;1010_0101_swampys_skillet;;0;100;true;;fishing_village_30007;;true;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;@1010_0101_d_06_task;;;0;;;;;;;;;;
1010_0102_eternal_mixes_container;ConsecutiveTaskContainer;0;0;0;;;0;0;false;;;;false;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;0;;;;;;1010_0102_d_01;1010_0102_d_02_container;1010_0102_d_03;;
1010_0102_d_01;TaskGoToPOITag;0;0;0;;;0;0;true;;fishing_village_30021;;false;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;@1010_0102_d_01_task;;;0;;;;;;;;;;
1010_0102_d_02_container;ConsecutiveTaskContainer;0;1;0;;;0;0;true;;fishing_village_30021;;false;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;@1010_0102_d_02_container;;;1;;;;;;1010_0102_d_02_01_container;1010_0102_d_02_02_container;1010_0102_d_02_03_container;;
