ConversationStateId;ConversationType;IsInitialState;DefaultDialogue;RequiredFaction;RequiredLevel;RequiredAchievement;LinearObjectiveId1;LinearObjectiveId2;LinearObjectiveId3;LinearObjectiveId4;LinearObjectiveId5;LinearObjectiveId6;LinearObjectiveId7;LinearObjectiveId8;LinearObjectiveId9;LinearObjectiveId10;TopicId1;TopicId2;TopicId3;TopicId4;TopicId5;TopicId6;TopicId7;TopicId8;TopicId9;TopicId10;ConversationService1;ConversationService2;ConversationService3
1201_00_Watcher;Linear_Objective;true;@NPC_DefaultDialogue_1201_00_Watcher;;0;;;;;;;;;;;;;;;;;;;;;;;;
1201_01_Watcher;Linear_Objective;false;@NPC_DefaultDialogue_1201_01_Watcher;;0;S_getoffbeach;1201_0101_culldrowned;;;;;;;;;;;;;;;;;;;;;;
1201_01a_Watcher;Linear_Objective;false;@1201_0102_campandtools_proposal;;0;S_culldrowned;1201_0102_campandtools;;;;;;;;;;;;;;;;;;;;;;
1201_01b_Watcher;Linear_Objective;false;@1201_0103_boarproblem_proposal;;0;S_campandtools;1201_0103_boarproblem;;;;;;;;;;;;;;;;;;;;;;
1201_02_Watcher;Linear_Objective;false;@NPC_DefaultDialogue_1201_02_Watcher;;0;S_boarproblem;1201_0104_xmarksthespot_p1;;;;;;;;;;1201_Watcher_Death;;;;;;;;;;;;
1201_03_Watcher;Linear_Objective;false;@NPC_DefaultDialogue_1201_03_Watcher;;0;S_xmarksthespot_p1;1201_0107_preciouscargo;;;;;;;;;;;;;;;;;;;;;;
1201_04_Watcher;Linear_Objective;false;@NPC_DefaultDialogue_1201_04_Watcher;;0;S_preciouscargo;1201_0108_introtosettlement;;;;;;;;;;1201_Watcher_Corruption;;;;;;;;;;;;
1201_05_Watcher;Linear_Objective;false;@NPC_DefaultDialogue_1201_05_Watcher;;0;S_introtosettlement;1201_0102_campandtools;;;;;;;;;;;;;;;;;;;;;;
1204_00_Overseer;Linear_Objective;true;@NPC_DefaultDialogue_1204_00_Overseer;;0;;;;;;;;;;;;;;;;;;;;;;;;
1204_01_Overseer;Linear_Objective;false;@NPC_DefaultDialogue_1204_01_Overseer;;0;S_introtosettlement;1204_0102_warnmagistrate;;;;;;;;;;;;;;;;;;;;;;
1204_02_Overseer;Linear_Objective;false;@NPC_DefaultDialogue_1204_02_Overseer;;0;S_introtooverseer;1204_0101_overseersettlement;;;;;;;;;;;;;;;;;;;;;;
1204_03_Overseer;Linear_Objective;false;@NPC_DefaultDialogue_1204_03_Overseer;;0;S_overseersettlement;1204_0103_introtoartificer;;;;;;;;;;;;;;;;;;;;Community_Board;;
1204_04_Overseer;Linear_Objective;false;@NPC_DefaultDialogue_1204_04_Overseer;;0;S_factionhandoff;;;;;;;;;;;1204_Constable_EncroachingCorruption;;;;;;;;;;;;
1204_04A_Overseer;Linear_Objective;false;@NPC_DefaultDialogue_1204_04A_Overseer;;0;S_encroachingcorruption;;;;;;;;;;;;;;;;;;;;;Community_Board;;
1204_05_Overseer;Linear_Objective;false;@NPC_DefaultDialogue_1204_05_Overseer;;0;12_Quest_04;1204_0202_stores;;;;;;;;;;;;;;;;;;;;Community_Board;;
1204_06_Overseer;Linear_Objective;false;@NPC_DefaultDialogue_1204_06_Overseer;;0;12_Quest_09;;;;;;;;;;;;;;;;;;;;;Community_Board;;
1204_07_Overseer;Linear_Objective;false;@NPC_DefaultDialogue_1204_07_Overseer;;0;12_Quest_09;1205_0303_crownjewels;;;;;;;;;;;;;;;;;;;;Community_Board;;
1204_08_Overseer;Linear_Objective;false;@NPC_DefaultDialogue_1204_08_Overseer;;0;12_Quest_08;;;;;;;;;;;;;;;;;;;;;Community_Board;;
1202_00_Magistrate;Linear_Objective;true;@NPC_DefaultDialogue_1202_00_Magistrate;;0;;1206_0103_hearthwohome;;;;;;;;;;;;;;;;;;;;;;
1202_01_Magistrate;Linear_Objective;false;@NPC_DefaultDialogue_1202_01_Magistrate;;0;S_hearthhome;1202_0102_intrototrader;1203_0102_introtooverseer;;;;;;;;;1202_Magistrate_Monarchs;;;;;;;;;;;;
1202_02_Magistrate;Linear_Objective;false;@NPC_DefaultDialogue_1202_02_Magistrate;;0;S_returntomagistrate;1202_0202_introtoallfactions;;;;;;;;;;1202_Magistrate_Factions;;;;;;;;;;;;
1202_03_Magistrate;Linear_Objective;false;@NPC_DefaultDialogue_1202_03_Magistrate;;0;S_timetochoose_accepted;;;;;;;;;;;1202_Magistrate_Factions;;;;;;;;;;;;
1202_04_Magistrate;Linear_Objective;false;@NPC_DefaultDialogue_1202_04_Magistrate;;0;S_timetochoose;;;;;;;;;;;;;;;;;;;;;;;
1202_05_Magistrate;Linear_Objective;false;@NPC_DefaultDialogue_1202_05_Magistrate;;0;S_factionhandoff;1205_0302_indigestion;;;;;;;;;;;;;;;;;;;;;;
1202_06_Magistrate;Linear_Objective;false;@NPC_DefaultDialogue_1202_06_Magistrate;;0;12_Quest_05;1202_0501_rightofway;;;;;;;;;;;;;;;;;;;;;;
1202_07_Magistrate;Linear_Objective;false;@NPC_DefaultDialogue_1202_07_Magistrate;;0;12_Quest_10;;;;;;;;;;;;;;;;;;;;;;;
1205_00_Artificer;Linear_Objective;true;@NPC_DefaultDialogue_1205_00_Artificer;;0;;;;;;;;;;;;;;;;;;;;;;;;
1205_01_Artificer;Linear_Objective;false;@NPC_DefaultDialogue_1205_01_Artificer;;0;S_introtoartificer;1205_0101_craftforartificer;;;;;;;;;;;;;;;;;;;;;;
1205_02_Artificer;Linear_Objective;false;@NPC_DefaultDialogue_1205_02_Artificer;;0;S_craftforartificer;1205_0102_campingunlock;;;;;;;;;;;;;;;;;;;;;;
1205_03_Artificer;Linear_Objective;false;@NPC_DefaultDialogue_1205_03_Artificer;;0;12_Quest_02;1205_0301_broken_weapons;;;;;;;;;;;;;;;;;;;;;;
1205_04_Artificer;Linear_Objective;false;@NPC_DefaultDialogue_1205_04_Artificer;;0;12_Quest_01;1205_0501_ancientcraft;;;;;;;;;;;;;;;;;;;;;;
1205_05_Artificer;Linear_Objective;false;@NPC_DefaultDialogue_1205_05_Artificer;;0;12_Quest_08;;;;;;;;;;;;;;;;;;;;;;;
1203_00_Survivalist;Linear_Objective;true;@NPC_DefaultDialogue_1203_00_Survivalist;;0;;;;;;;;;;;;;;;;;;;;;;;;
1203_01_Survivalist;Linear_Objective;false;@NPC_DefaultDialogue_1203_01_Survivalist;;0;S_campingunlock;1203_0201_survivalistquest;;;;;;;;;;Survivalist1203_01;;;;;;;;;;;;
1203_02_Survivalist;Linear_Objective;false;@NPC_DefaultDialogue_1203_02_Survivalist;;0;S_magistratequest;1203_0202_returntomagistrate;;;;;;;;;;;;;;;;;;;;;;
1203_03_Survivalist;Linear_Objective;false;@NPC_DefaultDialogue_1203_03_Survivalist;;0;S_factionhandoff;1203_0401_fashion;;;;;;;;;;;;;;;;;;;;;;
1203_04_Survivalist;Linear_Objective;false;@NPC_DefaultDialogue_1203_04_Survivalist;;0;12_Quest_06;1203_0302_root_problem;;;;;;;;;;;;;;;;;;;;;;
1203_05_Survivalist;Linear_Objective;false;@NPC_DefaultDialogue_1203_05_Survivalist;;0;12_Quest_08;;;;;;;;;;;;;;;;;;;;;;;
1210_00_Barkeep;Linear_Objective;true;@1210_00_Barkeep_DefaultDialog;;0;;;;;;;;;;;;;;;;;;;;;;;;
1210_01_Barkeep;Linear_Objective;false;@1210_01_Barkeep_DefaultDialog;;0;S_factionhandoff;1210_0101_devilhoney;;;;;;;;;;;;;;;;;;;;;;
1210_02_Barkeep;Linear_Objective;false;@1210_02_Barkeep_DefaultDialog;;0;12_Quest_07;1210_0201_daggermist;;;;;;;;;;;;;;;;;;;;;;
1210_03_Barkeep;Linear_Objective;false;@1210_03_Barkeep_DefaultDialog;;0;12_Quest_12;;;;;;;;;;;;;;;;;;;;;;;
1210_04_Barkeep;Linear_Objective;false;@1210_04_Barkeep_DefaultDialog;;0;12_Quest_13;1203_0301_failed_harvest;;;;;;;;;;;;;;;;;;;;;;
1210_05_Barkeep;Linear_Objective;false;@1210_05_Barkeep_DefaultDialog;;0;12_Quest_03;1204_0201_goodwill;;;;;;;;;;;;;;;;;;;;;;
1210_06_Barkeep;Linear_Objective;false;@1210_06_Barkeep_DefaultDialog;;0;12_Quest_08;;;;;;;;;;;;;;;;;;;;;;;
1207_00_Commander;Linear_Objective;true;@NPC_DefaultDialogue_1207_00_Commander;;0;;;;;;;;;;;;;;;;;;;;;;;;
1207_01_Commander;Linear_Objective;false;@NPC_DefaultDialogue_1207_01_Commander;;0;S_introtoallfactions_accepted;;;;;;;;;;;1202_Marauder_talk;;;;;;;;;;;;
1207_02_Commander;Linear_Objective;false;@NPC_DefaultDialogue_1207_02_Commander;;0;S_introtomarauders;;;;;;;;;;;;;;;;;;;;;;;
1207_03_Commander;Linear_Objective;false;@NPC_DefaultDialogue_1207_03_Commander;;0;S_timetochoose_accepted;;;;;;;;;;;;;;;;;;;;;Faction_Selection;;
1207_04_Commander;Linear_Objective;false;@NPC_DefaultDialogue_1207_04_Commander;Syndicate;0;S_timetochoose;;;;;;;;;;;;;;;;;;;;;;;
1207_05_Commander;Linear_Objective;false;@NPC_DefaultDialogue_1207_05_Commander;Covenant;0;S_timetochoose;;;;;;;;;;;;;;;;;;;;;;;
1207_06_Commander;Linear_Objective;false;@NPC_DefaultDialogue_1207_06_Commander;Marauder;0;S_timetochoose;1207_0101_marauderquest1;;;;;;;;;;;;;;;;;;;;;;
1207_07_Commander;Linear_Objective;false;@NPC_DefaultDialogue_1207_07_Commander;Marauder;0;S_marauderquest1;;;;;;;;;;;1202_Marauder_dye_talk;;;;;;;;;;Faction_Board;Join_Outpost_Rush;
1208_00_Alchemist;Linear_Objective;true;@NPC_DefaultDialogue_1208_00_Alchemist;;0;;;;;;;;;;;;;;;;;;;;;;;;
1208_01_Alchemist;Linear_Objective;false;@NPC_DefaultDialogue_1208_01_Alchemist;;0;S_introtoallfactions_accepted;;;;;;;;;;;1202_Syndicate_talk;;;;;;;;;;;;
1208_02_Alchemist;Linear_Objective;false;@NPC_DefaultDialogue_1208_02_Alchemist;;0;S_introtosyndicate;;;;;;;;;;;;;;;;;;;;;;;
1208_03_Alchemist;Linear_Objective;false;@NPC_DefaultDialogue_1208_03_Alchemist;;0;S_timetochoose_accepted;;;;;;;;;;;;;;;;;;;;;Faction_Selection;;
1208_04_Alchemist;Linear_Objective;false;@NPC_DefaultDialogue_1208_04_Alchemist;Marauder;0;S_timetochoose;;;;;;;;;;;;;;;;;;;;;;;
