TaskID;Type;FailOnCondition;StayActive;TargetQty;ItemName;ItemDropVC;ItemDropProbability;ChestDropProbability;EnforceLocationRequirement;TerritoryID;POITag;LootTag;PauseAndClearLootOnTaskComplete;AwardOnlyOnce;ShouldCheckPoints;GuranteedDropAttempts;TargetThreshold;CraftingRecipeId;CraftAnyRecipe;InteractTag;UIScreenTag;TriggerAreaType;KillEnemyType;KillEnemyWeaponID;Duration;TaskBuySellType;IsPurchaseOrEarn;IsExactMatch;UseTypeAffix;TypeAffix;UseMatAffix;MatAffix;UseMagicAffix;MagicAffix;MapMarkerMapIcon;MapMarkerTitleLocTag;MapMarkerDescriptionLocTag;MapMarkerWorldPositionX;MapMarkerWorldPositionY;MapMarkerWorldDistanceThreshold;UseLargeItemDisplay;TP_TargetTag;TP_DescriptionTag;TargetDescriptionTaskId;OverrideLocation;IsHidden;CompletedNotificationId;GridLayout;CommunityGoalTag;HideChildren;TriggerAnalyticsEvent;SubTask1;SubTask2;SubTask3;SubTask4;SubTask5
1304_1301_d_00_container_GhostsPast;ConsecutiveTaskContainer;;0;0;;;0;0;false;;;;false;;;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;;;;0;;;;;;1304_1301_d_01_Task_Goto;1304_1301_d_01a_Container;;;
1304_1301_d_01_Task_Goto;TaskGoToPOITag;;1;0;;;0;0;true;;abandoned_fishing_village_50208;;false;;;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;@1304_1301_d_01_Task_Goto;;;0;;;;;;;;;;
1304_1301_d_01a_Container;SimpleTaskContainer;;0;0;;;0;0;false;;;;false;;;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;;;;1;;;;;;1304_1301_d_02_Task_Kill;1304_1301_d_03_Task_GatherChest;;;
1304_1301_d_02_Task_Kill;TaskKillContribution;;1;10;;;0;0;true;;abandoned_fishing_village_50208;;false;;;;;;;;;;Wraith;;0;;;;;;;;;;;;;;;;0;;@1304_1301_d_02_Task_Kill;;;0;;;;;;;;;;
1304_1301_d_03_Task_GatherChest;TaskHaveAndReturnItems;;1;4;1304_1301_MusicCompositions;;0;100;true;;abandoned_fishing_village_50208;;true;;;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;@1304_1301_d_03_Task_GatherChest;;;0;;;;;;;;;;
1304_1302_d_00_container_UndeadPresent;ConsecutiveTaskContainer;;0;0;;;0;0;false;;;;false;;;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;;;;0;;;;;;1304_1302_d_01_Task_Goto;1304_1302_d_03_Task_Kill;;;
1304_1302_d_01_Task_Goto;TaskGoToPOITag;;1;0;;;0;0;true;;abandoned_fishing_village_50205;;false;;;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;@1304_1302_d_01_Task_Goto;;;0;;;;;;;;;;
1304_1302_d_03_Task_Kill;TaskKillContribution;;1;12;;;0;0;true;;abandoned_fishing_village_50205;;true;;;;;;;;;;Haunted;;0;;;;;;;;;;;;;;;;0;;@1304_1302_d_03_Task_Kill;;;0;;;;;;;;;;
1304_1303_d_00_container_GuardianFuture;ConsecutiveTaskContainer;;0;0;;;0;0;true;;;;false;;;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;;;;0;;;;;;1304_1303_d_01_Task_Goto;1304_1303_d_02_Task_Kill;;;
1304_1303_d_01_Task_Goto;TaskGoToPOITag;;1;0;;;0;0;true;;ancient_ruins_50211;;false;;;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;@1304_1303_d_01_Task_Goto;;;0;;;;;;;;;;
1304_1303_d_02_Task_Kill;TaskKillContribution;;1;15;;;0;0;true;;ancient_ruins_50211;;false;;;;;;;;;;Ancient;;0;;;;;;;;;;;;;;;;0;;@1304_1303_d_02_Task_Kill;;;0;;;;;;;;;;
1302_1304_d_00_container_BridgeOver;ConsecutiveTaskContainer;;0;0;;;0;0;false;;;;false;;;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;;;;0;;;;;;1302_1304_d_01_Task_Goto;1302_1304_d_01a_Container;;;
1302_1304_d_01_Task_Goto;TaskGoToPOITag;;1;0;;;0;0;true;;ancient_bridge_50212;;false;;;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;@1302_1304_d_01_Task_Goto;;;0;;;;;;;;;;
