TaskID;Type;FailOnCondition;StayActive;TargetQty;ItemName;ItemDropVC;ItemDropProbability;ChestDropProbability;UseGlobalStorage;EnforceLocationRequirement;TerritoryID;POITag;GameModeID;LootTag;PauseAndClearLootOnTaskComplete;AwardOnlyOnce;ShouldCheckPoints;GuranteedDropAttempts;TargetThreshold;CraftingRecipeId;CraftAnyRecipe;InteractTag;UIScreenTag;TriggerAreaType;KillEnemyType;KillEnemyWeaponID;Duration;TaskBuySellType;IsPurchaseOrEarn;IsExactMatch;UseTypeAffix;TypeAffix;UseMatAffix;MatAffix;UseMagicAffix;MagicAffix;MapMarkerMapIcon;MapMarkerTitleLocTag;MapMarkerDescriptionLocTag;MapMarkerWorldPositionX;MapMarkerWorldPositionY;MapMarkerWorldDistanceThreshold;UseLargeItemDisplay;TP_TargetTag;TP_DescriptionTag;TargetDescriptionTaskId;OverrideLocation;TP_StayComplete;IsHidden;CompletedNotificationId;GridLayout;CommunityGoalTag;HideChildren;TriggerAnalyticsEvent;SubTask1;SubTask2;SubTask3;SubTask4;SubTask5
1403_0201_d_00_Container_gates;ConsecutiveTaskContainer;;0;0;;;0;0;false;false;;;;;false;false;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1403_0201_d_01_Container_fertilecrescenttasks;1403_0201_d_02_Container_blisteroottasks;;;
1403_0201_d_01_Container_fertilecrescenttasks;ConsecutiveTaskContainer;;0;0;;;0;0;false;false;;;;;false;false;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;1403_0201_d_01a_Task;1403_0201_d_01b_Task;;;
1403_0201_d_01a_Task;TaskGoToPOITag;;1;1;;;0;0;false;true;;crater_feralarchway_50342;;;true;false;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;@1403_0201_d_01a_Task;;;;;;;;;;;;;;
1403_0201_d_01b_Task;TaskKillContribution;;1;10;;;0;0;false;true;;crater_feralarchway_50342;;;true;false;;0;;;;;;;AngryEarth;;;;;;;;;;;;;;;;;;;;@1403_0201_d_01_Task;;;;;;;;;;;;;;
1403_0201_d_02_Container_blisteroottasks;ConsecutiveTaskContainer;;0;0;;;0;0;false;false;;;;;false;false;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;1403_0201_d_02a_Task;1403_0201_d_02b_Task;;;
1403_0201_d_02a_Task;TaskGoToPOITag;;1;1;;;0;0;false;true;;crater_blightedvillage_50343;;;true;false;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;@1403_0201_d_02_Task;;;;;;;;;;;;;;
1403_0201_d_02b_Task;TaskKillContribution;;1;8;;;0;0;false;true;;crater_blightedvillage_50343;;;true;false;;0;;;;;;;Blighted;;;;;;;;;;;;;;;;;;;;@1403_0201_d_03_Task;;;;;;;;;;;;;;
1403_0202_d_00_Container_tincturequest;SimpleTaskContainer;;0;0;;;0;0;false;false;;;;;false;false;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1403_0202_d_01_Task;;;;
1403_0202_d_01_Task;TaskHaveItems;;1;1;TinctureBlightT3;;0;0;false;false;;;;;true;false;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;@1403_0202_d_01_Task;;;;;;;;;;;;;;
1416_0201_d_00_Container_sabotage;ConsecutiveTaskContainer;;0;0;;;0;0;false;false;;;;;false;false;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1416_0201_d_01_Task;1416_0201_d_02_Container_tasks;;;
1416_0201_d_01_Task;TaskGoToPOITag;;1;1;;;0;0;false;true;;ancientcrater16;;;true;false;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;@1416_0201_d_01_Task;;;;;;;;;;;;;;
1416_0201_d_02_Container_tasks;SimpleTaskContainer;;0;0;;;0;0;false;false;;;;;false;false;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;1416_0201_d_02a_Task;1416_0201_d_02b_Task;;;
1416_0201_d_02a_Task;TaskKillContribution;;1;15;;;0;0;false;true;;ancientcrater16;;;true;false;;0;;;;;;;Corrupted;;;;;;;;;;;;;;;;;;;;@1416_0201_d_02_Task;;;;;;;;;;;;;;
1416_0201_d_02b_Task;TaskHaveAndReturnItems;;1;6;1416_0201_ProfaneOre;;0;100;false;true;;ancientcrater16;;;true;false;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;@1416_0201_d_03_Task;;;;;;;;;;;;;;
1416_0202_d_00_Container_foreman;ConsecutiveTaskContainer;;0;0;;;0;0;false;false;;;;;false;false;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1416_0202_d_01_Task;1416_0202_d_02_Task;1416_0202_d_03_Task;1416_0202_d_04_Task;
1416_0202_d_01_Task;TaskGoToPOITag;;1;1;;;0;0;false;false;;crater_corruptedminewest_50332;;;true;false;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;@1416_0202_d_01_Task;;;;;;;;;;;;;;
1416_0202_d_02_Task;TaskKillContribution;;1;1;;;0;0;false;true;;crater_corruptedminewest_50332;;;true;false;;0;;;;;;;Damned_Rifleman_Male_Named_01;;;;;;;;;;;;;;;;;;;;@1416_0202_d_03_Task;;11113.878 6760.368 335.357;;;;;;;;;;;;
1416_0202_d_03_Task;TaskGoToPOITag;;1;1;;;0;0;false;false;;crater_corruptedmineeast_50333;;;true;false;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;@1416_0202_d_04_Task;;;;;;;;;;;;;;
1416_0202_d_04_Task;TaskKillContribution;;1;1;;;0;0;false;true;;crater_corruptedmineeast_50333;;;true;false;;0;;;;;;;Damned_1H_Swordsman_M_Named_01;;;;;;;;;;;;;;;;;;;;@1416_0202_d_02_Task;;11326.496 6655.472 305.066;;;;;;;;;;;;
1416_0301_d_00_Container_northeast;ConsecutiveTaskContainer;;0;0;;;0;0;false;false;;;;;false;false;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1416_0301_d_01_SliceSwap_EllwoodOriginal;1416_0301_d_03_Task;1416_0301_d_04_Task;;
1416_0301_d_01_SliceSwap_EllwoodOriginal;TaskUnlockAchievement;;1;1;SwapActive_EllwoodOriginal;;0;0;false;false;;;;;false;false;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;
1416_0301_d_03_Task;TaskGiveAndTakeItem;;1;1;MI_SummonsNote;;0;100;false;false;;;;;true;false;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;@1416_0301_d_01_Task;;;;1;;;;;;;;;;
1416_0301_d_04_Task;TaskHaveAndReturnItems;;1;1;MI_SummonsNote;;0;0;false;false;;;;;true;false;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;@1416_0301_d_02_Task;;;;1;;;;;;;;;;
1418_0201_d_00_Container_lights;ConsecutiveTaskContainer;;0;0;;;0;0;false;false;;;;;false;false;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1418_0201_d_01_Task;1418_0201_d_02_Task;;;
1418_0201_d_01_Task;TaskGoToPOITag;;1;0;;;0;0;false;true;;crater_ancientwatchtower_50328;;;true;false;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;@1418_0201_d_01_Task;;;;;;;;;;;;;;
1418_0201_d_02_Task;TaskKillContribution;;1;10;;;0;0;false;true;;crater_ancientwatchtower_50328;;;true;false;;0;;;;;;;Ancient;;;;;;;;;;;;;;;;;;;;@1418_0201_d_02_Task;;;;;;;;;;;;;;
1418_0202_d_00_Container_azuretears;ConsecutiveTaskContainer;;0;0;;;0;0;false;false;;;;;false;false;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1418_0202_d_01_Task;1418_0202_d_02_Task;;;
1418_0202_d_01_Task;TaskGoToPOITag;;1;0;;;0;0;false;true;;crater_brutalsummit_50309;;;true;false;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;@1418_0202_d_01_Task;;;;;;;;;;;;;;
1418_0202_d_02_Task;TaskHaveAndReturnItems;;1;12;1418_0202_WyrdwoodTears;AngryEarth;100;0;false;true;;crater_brutalsummit_50309;;;true;false;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;@1418_0202_d_02_Task;;;;;;;;;;;;;;
1403_0203_d_00_Container_blightpox;ConsecutiveTaskContainer;;0;0;;;0;0;false;false;;;;;false;false;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1403_0203_d_01_Task;1403_0203_d_02_Container_tasks;;;
1403_0203_d_01_Task;TaskGoToPOITag;;1;1;;;0;0;false;true;;crater_malice_50327;;;true;false;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;@1403_0203_d_01_Task;;;;;;;;;;;;;;
1403_0203_d_02_Container_tasks;SimpleTaskContainer;;0;0;;;0;0;false;false;;;;;false;false;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;1403_0203_d_02a_Task;1403_0203_d_02b_Task;;;
1403_0203_d_02a_Task;TaskKillContribution;;1;15;;;0;0;false;true;;crater_malice_50327;;;true;false;;0;;;;;;;AngryEarth;;;;;;;;;;;;;;;;;;;;@1403_0203_d_02_Task;;;;;;;;;;;;;;
1403_0203_d_02b_Task;TaskHaveAndReturnItems;;1;1;1403_0203_BlightVines;Dryad_Soldier_Named_00;100;0;false;true;;crater_malice_50327;;;true;false;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;@1403_0203_d_03_Task;;;;;;;;;;;;;;
1403_0301_d_00_Container_blightstrength;ConsecutiveTaskContainer;;0;0;;;0;0;false;false;;;;;false;false;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1403_0301_d_01_Task;1403_0301_d_02_Container_tasks;;;
1403_0301_d_01_Task;TaskGoToPOITag;;1;1;;;0;0;false;true;;crater_feralcolony_50324;;;true;false;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;@1403_0301_d_01_Task;;;;;;;;;;;;;;
1403_0301_d_02_Container_tasks;SimpleTaskContainer;;0;0;;;0;0;false;false;;;;;false;false;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;1403_0301_d_02a_Task;1403_0301_d_02b_Task;;;
1403_0301_d_02a_Task;TaskKillContribution;;1;12;;;0;0;false;true;;crater_feralcolony_50324;;;true;false;;0;;;;;;;AngryEarth;;;;;;;;;;;;;;;;;;;;@1403_0301_d_02_Task;;;;;;;;;;;;;;
1403_0301_d_02b_Task;TaskHaveAndReturnItems;;1;1;1403_0301_BlightSample;Blighted;100;0;false;true;;crater_feralcolony_50324;;;true;false;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;@1403_0301_d_03_Task;;12141.123 7727.103 270.093;;;;;;;;;;;;
1403_0401_d_00_Container_blightmigration;ConsecutiveTaskContainer;;0;0;;;0;0;false;false;;;;;false;false;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1403_0401_d_01_Task;1403_0401_d_02_Task;1403_0401_d_03_Task;1403_0401_d_04_Task;
1403_0401_d_01_Task;TaskGoToPOITag;;1;1;;;0;0;false;true;;ancientcrater3;;;true;false;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;@1403_0401_d_01_Task;;;;;;;;;;;;;;
1403_0401_d_02_Task;TaskKillContribution;;1;8;;;0;0;false;true;;ancientcrater3;;;true;false;;0;;;;;;;AngryEarth;;;;;;;;;;;;;;;;;;;;@1403_0401_d_02_Task;;11284.479 8653.703 300.213;;;;;;;;;;;;
1403_0401_d_03_Task;TaskGoToPOITag;;1;1;;;0;0;false;true;;dryadgate;;;true;false;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;@1403_0401_d_01_Task;;;;;;;;;;;;;;
1403_0401_d_04_Task;TaskKillContribution;;1;8;;;0;0;false;true;;shatteredmountain9;;;true;false;;0;;;;;;;AngryEarth;;;;;;;;;;;;;;;;;;;;@1403_0401_d_02_Task;;10789.879 8942.319 548.645;;;;;;;;;;;;
1413_0201_d_00_Container_spriggan;ConsecutiveTaskContainer;;0;0;;;0;0;false;false;;;;;false;false;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1413_0201_d_01_TaskGoToPOITag;1413_0201_d_02_Get_SprigganKey;1413_0201_d_00_Kill_Spriggan;;
1413_0201_d_01_TaskGoToPOITag;TaskGoToPOITag;;1;0;;;0;0;false;true;;crater_mysticbridgetower_50368;;;false;false;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;@1413_0201_key_goto;;;;;;;;;;;;;;
1413_0201_d_02_Get_SprigganKey;TaskHaveItems;;0;1;SprigganKey;Dryad_Shaman_Named_04;100;0;true;false;;crater_mysticbridgetower_50368;;;true;true;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;@1413_0201_spriggan_getkey;;11660.453 7867.224 173.130;1;;;;;;;;;;;
1413_0201_d_00_Kill_Spriggan;TaskKillContribution;;1;1;;;0;0;false;false;;;;;false;false;;0;;;;;;;Spriggan_Forest;;;;;;;;;;;;;;;;;;;;@1413_0201_spriggan_killspriggan;;11855.000 7899.000 160.000;;;;;;;;;;;;
1414_0101_d_00_Container_ToReekwater;SimpleTaskContainer;;0;0;;;0;0;false;false;;;;;false;false;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1414_0101_d_01_Task_GiveAndTakeItem;1414_0101_d_02_Task_HaveAndReturnItem;;;
1414_0101_d_01_Task_GiveAndTakeItem;TaskGiveAndTakeItem;;1;1;MI_SummonsNote;;0;100;false;false;;;;;true;false;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;
