TaskID;Type;FailOnCondition;StayActive;TargetQty;ItemName;ItemDropVC;ItemDropProbability;ChestDropProbability;EnforceLocationRequirement;TerritoryID;POITag;LootTag;PauseAndClearLootOnTaskComplete;CraftingRecipeId;CraftAnyRecipe;InteractTag;UIScreenTag;TriggerAreaType;KillEnemyType;KillEnemyWeaponID;Duration;TaskBuySellType;IsPurchaseOrEarn;IsExactMatch;UseTypeAffix;TypeAffix;UseMatAffix;MatAffix;UseMagicAffix;MagicAffix;MapMarkerMapIcon;MapMarkerTitleLocTag;MapMarkerDescriptionLocTag;MapMarkerWorldPositionX;MapMarkerWorldPositionY;MapMarkerWorldDistanceThreshold;UseLargeItemDisplay;TP_TargetTag;TP_DescriptionTag;TP_MapIcon;TP_ShowOnMap;TP_ShowOnCompass;TP_StayComplete;IsHidden;CompletedNotificationId;GridLayout;CommunityGoalTag;HideChildren;TriggerAnalyticsEvent;SubTask1;SubTask2;SubTask3;SubTask4;SubTask5
7404_0101_d_00_container_devworldredkillwitheredquest;ConsecutiveTaskContainer;0;0;0;;;;0;false;;;;false;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;7404_0101_d_01_TaskGoToPOITag_withered_devworld_farm;7404_0101_d_02_kill_16_abominations_withered_devworld_farm;;;
7404_0101_d_01_TaskGoToPOITag_withered_devworld_farm;TaskGoToPOITag;0;1;0;;;;0;false;;devworld_farm;;false;;;;;;;;;;;;;;;;;;;;;;;;;;@7404_0101_devworldredkillwitheredatfarm_gotoPOI;;;;0;;;;;;;;;;;
7404_0101_d_02_kill_16_abominations_withered_devworld_farm;TaskKillContribution;0;1;3;;;;0;true;;devworld_farm;;false;;;;;;Withered;;;;;;;;;;;;;;;;;;;;@7404_0101_devworldredkillwitheredatfarm_eliminate_target_abominations_at_POI;;;;0;;;;;;;;;;;
7405_0101_d_00_container_devworldredgetfarmlootquest;ConsecutiveTaskContainer;0;0;0;;;;0;false;;;;false;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;7404_0101_d_01_TaskGoToPOITag_withered_devworld_farm;7405_0101_d_02_TaskHaveAndReturnItems_3_MI_GamblersDice_devworld_farm;7405_0103_d_03_InteractWithMissionBoard;;
7405_0101_d_02_TaskHaveAndReturnItems_3_MI_GamblersDice_devworld_farm;TaskHaveAndReturnItems;0;1;2;MI_GamblersDice;;;100;true;;devworld_farm;;true;;;;;;;;;;;;;;;;;;;;;;;;;;@7405_0101_devworldredgetfarmloot_search_container_at_POI;;;;0;;;;;;;;;;;
7405_0103_d_03_InteractWithMissionBoard;TaskInteract;0;0;1;;;;0;false;;;;false;;;ReturnToGiver;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
7404_0101_d_03_Interact_with_devworld_settlementStorage;TaskInteract;0;0;1;;;;0;false;;;;false;;;SettlementStorage;;;;;;;;;;;;;;;;;;;;;;;@7404_0101_devworldredinteractwithdevworldfarmchest;;;;1;;;;;;;;;;;
74_0101_devworldreddefendobjectquest_container;ConsecutiveTaskContainer;0;0;0;;;;0;false;;;;false;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;74_0101_d_00_DefenseEncounter_Participate;74_0101_d_01_DefenseEncounter_Complete;;;
74_0101_d_00_DefenseEncounter_Participate;TaskGameEvent;0;0;1;;;;0;false;;;;false;;;IO_DefendObject_Test;;;74_0101_devworldreddefendobjectquest_participate;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;
74_0101_d_01_DefenseEncounter_Complete;TaskGameEvent;0;0;1;;;;0;false;;;;false;;;IO_DefendObject_Test;;;DefendObject_SampleEncounter_Completed;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
