AbilityID;DisplayName;Description;UICategory;Icon;StatusEffectIcon;Sound;TelegraphStatusEffect;TelegraphCountOffset;OnEquipStatusEffect;WeaponTag;RequiredAbilityId;TreeId;TreeRowPosition;TreeColumnPosition;IsActiveAbility;IsGlobalAbility;IsStackableAbility;ScalingStrength;ScalingDexterity;ScalingIntelligence;ScalingSpirit;ScalingConstitution;OnEventPassiveConditionsPass;OnKill;OnExecuted;OnHit;OnBlockedHit;OnHitBehind;OnCrit;OnCritTaken;OnHeadShot;OnLegShot;OnHitTaken;OnDeath;OnDeathsDoor;OnBlockBreak;OnTargetBlockBreak;OnTargetSet;OnContributedKill;OnHealthChanged;RequireReaction;NumSuccessfulHits;NumConsecutiveHits;MaxConsecutiveHits;TrackHitCount;ResetConsecutiveOnSuccess;DamageIsRanged;DamageIsMelee;AllowSelfDamageForHitEvents;ForceShowNameTag;TargetHasGritActive;DamageTableRow;RemoteDamageTableRow;RangedAttackName;AttackType;DamageTypes;StatusEffect;StatusEffectCategories;StatusEffectStackSize;StatusEffectComparison;DontHaveStatusEffect;TargetStatusEffect;TargetStatusEffectCategory;TargetStatusEffectStackSize;TargetStatusEffectComparison;TargetCollisionFilters;TargetMarker;MyHealthPercent;MyComparisonType;MyStaminaPercent;MyStaminaComparisonType;TargetHealthPercent;TargetComparisonType;DistFromDefender;DistComparisonType;NumAroundMe;NumAroundComparisonType;AbilityList;AbilityTrigger;InAction;InActionTime;AfterAction;BaseDamage;BaseDamageReduction;BlockDamage;BlockDamageReduction;CritDamage;CritChance;HeadshotDamage;StaggerDamage;StaggerDamageReduction;HitRateDmg;HitRateDmgReduction;HealthDamageMitigation;ThreatDamage;ArmorPenetration;PhysicalArmor;ElementalArmor;LinearlyScaleToDistance;Knockback;WeaponAccuracy;Health;DmgPctToHealth;MaxHealth;Mana;ManaRate;MaxMana;DamageTableRowOverride;StatusEffectDamageTableRowOverride;ForceStatusEffectDamageTableRow;RangedAttackNameOverride;PowerLevelOverride;EnableCrit;PerStatusEffectOnTarget;ForceTakeStaminaDamage;CastSpell;SelfApplyStatusEffect;OtherApplyStatusEffect;SetPotencyAsCount;MultiplyRemovedByPotency;OnlyChangeOwnedStatusEffects;NumStatusEffectsToRemove;NumStatusEffectStacksToRemove;RemoveStatusEffects;StatusEffectsList;StatusEffectCategoriesList;RemoveTargetStatusEffectsList;ConsumeTargetStatusEffectMult;StatusEffectDurationReduction;TargetStatusEffectDurationList;TargetStatusEffectDurationMod;Duration;CooldownId;CDRImmediatelyOptions;ResetCooldownTimers;CooldownTimer;NumFreeCooldownsPerUse;MaxHitCountMultiplier;SetMannequinTag;SetMannequinTagStatus
Elite Affixes;;;;;;;;;;;;;;;;;false;;;;;;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;;;;;;;;;;;;0;0;0;0;;;;0;0;;;;;;;;0;0;;;0;;;;;;;false;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;false
AI_Elite_Unbreakable_Grit;;;;;;;;;;;;;;;;;false;;;;;;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;;;;;;;;;;;;0;0;0;0;;;;0;10;;;;;;;;0;0;;;0;;;;;;;false;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;false
AI_Elite_StaggerAndStaminaDMG;;;;;;;;;;;;;;;;;false;;;;;;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;;;;;;;;;;;;0;0;-0.5;0;;;;-0.5;0;;;;;;;;0;0;;;0;;;;;;;false;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;false
AI_StaminaDamageTakenReduced_50;;;;;;;;;;;;;;;;;false;;;;;;false;false;false;false;false;false;false;false;false;false;true;false;false;false;false;false;false;false;false;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;;;;;;;;;;;;0;0;0;0.5;;;;0;0.5;;;;;;;;0;0;;;0;;;;;;;false;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;false
AI_PoisonPool_OnHit;;;;;;;;;;;;;;;;;false;;;;;;false;false;false;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;;;;;;;;;;;;0;0;0;0;;;;0;0;;;;;;;;0;0;;;0;;;;;;;false;;;;;;Dryad_Tendril_Sweep_Pools;;;;;;0;;;;;;0;;;;;;;;;;;;false
AI_Burn_OnHit;;;;;;;;;;;;;;;;;false;;;;;;false;false;false;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;;;;;;;;;;;;0;0;0;0;;;;0;0;;;;;;;;0;0;;;0;;;;;;;false;;;;;;;;AI_Burn_9;;;;0;;;;;;0;;;;;;;;;;;;false
AI_SelfDestruct_OnDeath;;;;;;;;;;;;;;;;;false;;;;;;false;false;false;false;false;false;false;false;false;false;false;true;false;false;false;false;false;false;false;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;;;;;;;;;;;;0;0;0;0;;;;0;0;;;;;;;;0;0;;;0;;;;;;;false;;;;;;AI_Explosion;;;;;;0;;;;;;0;;;;;;;;;;;;false
AI_SelfDestruct_Corruption_OnDeath;;;;;;;;;;;;;;;;;false;;;;;;false;false;false;false;false;false;false;false;false;false;false;true;false;false;false;false;false;false;false;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;;;;;;;;;;;;0;0;0;0;;;;0;0;;;;;;;;0;0;;;0;;;;;;;false;;;;;;AI_Corruption_Explosion;;;;;;0;;;;;;0;;;;;;;;;;;;false
AI_Frost_Aura;;;;;;;;;;;;;;;;;false;;;;;;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;true;false;false;false;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;;;;;;;;;;;;0;0;0;0;;;;0;0;;;;;;;;0;0;;;0;;;;;;;false;;;;;;AI_FrostAura;;;;;;0;;;;;;0;;;;;;;;;;;;false
AI_Armored;;;;;;;;;;;;;;;;;false;;;;;;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;;;;;;;;;;;;0;0;0;0;;;;0;0;;;;;;;;0;0;;;0;;;;;;;false;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;false
AI_Brutal;;;;;;;;;;;;;;;;;false;;;;;;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;;;;;;;;;;;;0.25;0;0;0;;;;0;0;;;;;;;;0;0;;;0;;;;;;;false;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;false
AI_Shattering;;;;;;;;;;;;;;;;;false;;;;;;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;;;;;;;;;;;;0;0;0.5;0;;;;0;0;;;;;;;;0;0;;;0;;;;;;;false;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;false
AI_Orbit;;;;;;;;;;;;;;;;;false;;;;;;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;true;false;false;false;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;;;;;;;;;;;;0;0;0;0;;;;0;0;;;;;;;;0;0;;;0;;;;;;;false;;;;;;AI_Orbit;;;;;;0;;;;;;0;;;;;;;;;;;;false
AI_Turret;;;;;;;;;;;;;;;;;false;;;;;;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;true;false;false;false;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;;;;;;;;;;;;0;0;0;0;;;;0;0;;;;;;;;0;0;;;0;;;;;;;false;;;;;;AI_Turret;;;;;;0;;;;;;0;;;;;;;;;;;;false
AI_ProjectileShield;;;;;;;;;;;;;;;;;false;;;;;;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;true;false;false;false;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;;;;;;;;;;;;0;0;0;0;;;;0;0;;;;;;;;0;0;;;0;;;;;;;false;;;;;;AI_ProjectileShield;;;;;;0;;;;;;0;;;;;;;;;;;;false
AI_RotatingBeam;;;;;;;;;;;;;;;;;false;;;;;;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;true;false;false;false;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;;;;;;;;;;;;0;0;0;0;;;;0;0;;;;;;;;0;0;;;0;;;;;;;false;;;;;;AI_RotatingBeam;;;;;;0;;;;;;0;;;;;;;;;;;;false
AI_Geyser;;;;;;;;;;;;;;;;;false;;;;;;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;true;false;false;false;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;;;;;;;;;;;;0;0;0;0;;;;0;0;;;;;;;;0;0;;;0;;;;;;;false;;;;;;AI_Geyser;;;;;;0;;;;;;0;;;;;;;;;;;;false
AI_Slime;;;;;;;;;;;;;;;;;false;;;;;;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;true;false;false;false;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;;;;;;;;;;;;0;0;0;0;;;;0;0;;;;;;;;0;0;;;0;;;;;;;false;;;;;;AI_Slime;;;;;;0;;;;;;0;;;;;;;;;;;;false
AI_Haunted;;;;;;;;;;;;;;;;;false;;;;;;false;false;false;false;false;false;false;false;false;false;false;true;false;false;false;false;false;false;false;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;;;;;;;;;;;;0;0;0;0;;;;0;0;;;;;;;;0;0;;;0;;;;;;;false;;;;;;AI_Haunted;;;;;;0;;;;;;0;;;;;;;;;;;;false
AI_Corruption_Pool;;;;;;;;;;;;;;;;;false;;;;;;false;false;false;false;false;false;false;false;false;false;false;true;false;false;false;false;false;false;false;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;;;;;;;;;;;;0;0;0;0;;;;0;0;;;;;;;;0;0;;;0;;;;;;;false;;;;;;AI_Corruption_Pool;;;;;;0;;;;;;0;;;;;;;;;;;;false
AI_Infest;;;;;;;;;;;;;;;;;false;;;;;;false;false;false;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;;;;;;;;;;;;;;Heavy,Magic;;;;;;;;;0;;;;0;;;;;;;;;;;;;;;0;0;0;0;;;;0;0;;;;;;;;0;0;;;0;;;;;;;false;;;;;;;;AI_Infest;;;;0;;;;;;0;;;;;;;;;;;;false
AI_PoisonPool;;;;;;;;;;;;;;;;;false;;;;;;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;true;false;false;false;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;;;;;;;;;;;;0;0;0;0;;;;0;0;;;;;;;;0;0;;;0;;;;;;;false;;;;;;AI_PoisonPool;;;;;;0;;;;;;0;;;;;;;;;;;;false
