AbilityID;DisplayName;Description;UICategory;Icon;StatusEffectIcon;Sound;TelegraphStatusEffect;TelegraphCountOffset;OnEquipStatusEffect;WeaponTag;RequiredAbilityId;TreeId;TreeRowPosition;TreeColumnPosition;IsActiveAbility;IsGlobalAbility;IsStackableAbility;IsNonCombatAbility;ScalingStrength;ScalingDexterity;ScalingIntelligence;ScalingSpirit;ScalingConstitution;OnKill;OnExecuted;OnHit;OnHitBehind;OnBlockedHit;OnCrit;OnCritTaken;OnHeadShot;OnLegShot;OnHitTaken;OnDeath;OnDeathsDoor;OnBlockBreak;OnTargetBlockBreak;OnTargetSet;OnContributedKill;OnHealed;OnGatheringComplete;GatheringTradeskill;NumConsecutiveHits;MaxConsecutiveHits;TrackHitCount;ResetConsecutiveOnSuccess;DamageIsRanged;DamageIsMelee;ForceShowNameTag;TargetHasGritActive;DamageTableRow;RemoteDamageTableRow;RangedAttackName;AttackType;DamageTypes;DamageCategory;StatusEffect;StatusEffectCategories;DontHaveStatusEffect;TargetStatusEffect;TargetStatusEffectCategory;TargetStatusEffectStackSize;TargetStatusEffectComparison;TargetCollisionFilters;TargetMarker;MyHealthPercent;MyComparisonType;MyStaminaPercent;MyStaminaComparisonType;TargetHealthPercent;TargetComparisonType;DistFromDefender;DistComparisonType;NumAroundMe;NumAroundComparisonType;AbilityList;AbilityTrigger;InAction;InActionTime;AfterAction;BaseDamage;BaseDamageReduction;BlockDamage;BlockDamageReduction;CritDamage;CritChance;HeadshotDamage;StaggerDamage;StaggerDamageReduction;HitRateDmg;HitRateDmgReduction;HealthDamageMitigation;ThreatDamage;ArmorPenetration;PhysicalArmor;PhysicalArmorMaxHealthMod;ElementalArmor;Knockback;WeaponAccuracy;Health;DmgPctToHealth;HealScalingValueMultiplier;MaxHealth;ConsumableHealMod;Mana;ManaRate;MaxMana;DamageTableRowOverride;RangedAttackNameOverride;EnableCrit;PerStatusEffectOnTarget;ForceTakeStaminaDamage;StaminaCostList;StaminaCostFlatMod;CastSpell;SelfApplyStatusEffect;OtherApplyStatusEffect;SetPotencyAsCount;MultiplyRemovedByPotency;OnlyChangeOwnedStatusEffects;RemoveStatusEffects;StatusEffectsList;StatusEffectCategoriesList;RemoveTargetStatusEffectsList;ConsumeTargetStatusEffectMult;StatusEffectDurationReduction;TargetStatusEffectDurationList;TargetStatusEffectDurationCats;TargetStatusEffectDurationMod;TargetStatusEffectDurationMult;Duration;CooldownId;CDRImmediatelyOptions;ResetCooldownTimers;CooldownTimer;NumFreeCooldownsPerUse;MaxHitCountMultiplier;SetMannequinTag;SetMannequinTagStatus;RepairDustYieldMod;ToolDurabilityLossMod;FastTravelInnCooldownMod;FastTravelAzothCostMod;GiveAzothPercentChance;Azoth;RefundAmmoPercentChance
Int_Bonus_50_1;@Int_Bonus_50_active;@Int_Bonus_50_inactive;;bowAbility5_mod2;;;;;;;;;;;;;;false;;;;;;false;false;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;;;;;;;false;;;;;;Light,Heavy;;Elemental;;;;;;;;;;0;;;;0;;;;;;;;;;;0.10000000149011612;0;0;;0;0;;0;;;;;;;0;0;;;;;;0;;0;0;0;0;;;;;;;0;;;;;;;;;;;;;;;;0;0;;;;;;;;;0;0;0;0;0;0;0
Int_Bonus_50_2;Int_Bonus_50_2;;;;;;;;ATB_Int_Bonus_50_2_Effect;;;;;;;;;true;;;;;;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;;;;;;;false;;;;;;;;;;;;;;;;;;0;;;;0;;;;;;;;;;;0;0;0;;0;0;;0;;;;;;;0;0;;;;;;0;;0;0;0;0;;;;;;;0;;Poison;;;;;;;;;;;;;;0;0;;;;;;;;;0;0;0;0;0;0;0
Int_Bonus_100_1;@Int_Bonus_100_active;@Int_Bonus_100_inactive;;bowAbility5_mod2;;;;;;;;;;;;;;false;;;;;;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;;;;;;;false;;;;;;;;;;;;;;;;;;0;;;;0;;;;;;;;;;;0;0;0;;0.10000000149011612;0;;0;;;;;;;0;0;;;;;;0;;0;0;0;0;;;;;;;0;;;;;;;;;;;;;;;;0;0;;;;;;;;;0;0;0;0;0;0;0
Int_Bonus_100_2;Int_Bonus_100_2;;;;;;;;;;;;;;;;;true;;;;;;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;true;Harvesting;;;;;;false;;;;;;;;;;;;;;;;;;0;;;;0;;;;;;;;;;;0;0;0;;0;0;;0;;;;;;;0;0;;;;;;0;;0;0;0;0;;;;;;;0;;;;;;;;;;;;;;;;0;0;;;;;;;;;0;0;0;0;0.05000000074505806;1;0
Int_Bonus_150_1;@Int_Bonus_150_active;@Int_Bonus_150_inactive;;bowAbility5_mod2;;;;;;;;;;;;;;false;;;;;;false;false;true;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;;;;;;;false;;;;;;;;Elemental;;;;;;;;;;0;;;;0;;;;;;;;;;;0.15000000596046448;0;0;;0;0;;0;;;;;;;0;0;;;;;;0;;0;0;0;0;;;;;;;0;;;;;;;;;;;;;;;;0;0;;;;;;;;;0;0;0;0;0;0;0
Int_Bonus_150_2;Int_Bonus_150_2;;;;;;;;ATB_Int_Bonus_150_2_Effect;;;;;;;;;true;;;;;;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;;;;;;;false;;;;;;;;;;;;;;;;;;0;;;;0;;;;;;;;;;;0;0;0;;0;0;;0;;;;;;;0;0;;;;;;0;;0;0;0;0;;;;;;;0;;;;;;;;;;;;;;;;0;0;;;;;;;;;0;0;0;0;0;0;0
Int_Bonus_200_1;@Int_Bonus_200_active;@Int_Bonus_200_inactive;;bowAbility5_mod2;;;;;;;;;;;;;;false;;;;;;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;;;;;;;false;;;;;;;;;;;;;;;;;;0;;;;0;;;;;;;;;;Dodge;0;0;0;;0;0;;0;;;;;;;0;0;;;;;;0;;0;0.10000000149011612;0;0;;;;;;;0;;;;;;;;;;;;;;;;0;2;;;;;;;;;0;0;0;0;0;0;0
Int_Bonus_200_2;Int_Bonus_200_2;;;;;;;;ATB_Int_Bonus_200_2_Effect;;;;;;;;;true;;;;;;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;;;;;;;false;;;;;;;;;;;;;;;;;;0;;;;0;;;;;;;;;;;0;0;0;;0;0;;0;;;;;;;0;0;;;;;;0;;0;0;0;0;;;;;;;0;;;;;;;;;;;;;;;;0;0;;;;;;;;;0;0;0;0;0;0;0
Int_Bonus_250_1;@Int_Bonus_250_active;@Int_Bonus_250_inactive;;bowAbility5_mod2;;;;;;;;;;;;;;false;;;;;;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;;;;;;;false;;;;;;;;;;;;;;;;;;0;;;;0;;;;;;;;;;;0;0;0;;0;0;;0;;;;;;;0;0;;;;;;0;;0;0;0;0;;;;;;;0;;;;;;;;;;;;;;Dot;;0.30000001192092896;0;;;;;;;;;0;0;0;0;0;0;0
Int_Bonus_250_2;Int_Bonus_250_2;;;;;;;;ATB_Int_Bonus_250_2_Effect;;;;;;;;;true;;;;;;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;;;;;;;false;;;;;;;;;;;;;;;;;;0;;;;0;;;;;;;;;;;0;0;0;;0;0;;0;;;;;;;0;0;;;;;;0;;0;0;0;0;;;;;;;0;;;;;;;;;;;;;;;;0;0;;;;;;;;;0;0;0;0;0;0;0
