AbilityID;DisplayName;Description;UICategory;Icon;StatusEffectIcon;Sound;TelegraphStatusEffect;TelegraphCountOffset;OnEquipStatusEffect;WeaponTag;RequiredAbilityId;TreeId;TreeRowPosition;TreeColumnPosition;IsActiveAbility;IsGlobalAbility;ScalingStrength;ScalingDexterity;ScalingIntelligence;ScalingSpirit;ScalingConstitution;OnKill;OnExecuted;OnHit;OnBlockedHit;OnCrit;OnHeadShot;OnLegShot;OnHitTaken;OnBlockBreak;OnTargetBlockBreak;OnDeath;OnDeathsDoor;RequireReaction;NumSuccessfulHits;NumConsecutiveHits;MaxConsecutiveHits;TrackHitCount;MaxTrackedHitCounts;ResetConsecutiveOnSuccess;DamageIsRanged;DamageIsMelee;ForceShowNameTag;TargetHasGritActive;DamageTableRow;RemoteDamageTableRow;RangedAttackName;AttackType;DamageTypes;StatusEffect;StatusEffectCategories;TargetStatusEffect;TargetStatusEffectCategory;TargetStatusEffectStackSize;TargetStatusEffectComparison;TargetCollisionFilters;TargetMarker;MyHealthPercent;MyComparisonType;MyStaminaPercent;MyStaminaComparisonType;TargetHealthPercent;TargetComparisonType;DistFromDefender;DistComparisonType;NumAroundMe;NumAroundComparisonType;AbilityList;AbilityTrigger;InAction;InActionTime;AfterAction;BaseDamage;BaseDamageReduction;BlockDamage;BlockDamageReduction;CritDamage;CritChance;HeadshotDamage;StaggerDamage;StaggerDamageReduction;HitRateDmg;HitRateDmgReduction;HealthDamageMitigation;ThreatDamage;ArmorPenetration;PhysicalArmor;ElementalArmor;Knockback;WeaponAccuracy;Health;DmgPctToHealth;MaxHealth;Mana;MaxMana;DamageTableRowOverride;RangedAttackNameOverride;EnableCrit;PerStatusEffectOnTarget;ForceTakeStaminaDamage;CastSpell;SelfApplyStatusEffect;OtherApplyStatusEffect;SetPotencyAsCount;MultiplyRemovedByPotency;RemoveStatusEffects;StatusEffectsList;StatusEffectCategoriesList;RemoveTargetStatusEffectsList;ConsumeTargetStatusEffectMult;StatusEffectDurationReduction;TargetStatusEffectDurationList;TargetStatusEffectDurationCats;TargetStatusEffectDurationMod;TargetStatusEffectDurationMult;Duration;CooldownId;CDRImmediatelyOptions;ResetCooldownTimers;CooldownTimer;NumFreeCooldownsPerUse;MaxHitCountMultiplier;SetMannequinTag;SetMannequinTagStatus;RefundAmmoPercentChance
Ability_Bow_PoisonShot;@Ability_Bow_PoisonShot;@Ability_Bow_PoisonShot_description;Ranged Damage;bowAbility5;;Play_UI_WeaponSkills_Bow_Ability_1;;;;Bow;;0;2;0;true;false;;;;;;false;false;false;false;false;false;false;false;false;false;false;false;false;0;0;0;false;0;false;false;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;;;;0;;0;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;0;0;Ability_Bow_PoisonShot;;;0;;;;;0
Upgrade_Bow_PoisonShot_PoisonDmg;@Upgrade_Bow_PoisonShot_PoisonDmg;@Upgrade_Bow_PoisonShot_PoisonDmg_description;Ranged Damage;bowAbility5_mod1;;;;;;Bow;;0;3;0;false;false;;;;;;false;false;false;false;false;false;false;false;false;false;false;false;false;0;0;0;false;0;false;false;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;;;;0;;0;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;0;0;Ability_Bow_PoisonShot;;;0;;;;;0
Upgrade_Bow_PoisonShot_DirectDmg;@Upgrade_Bow_PoisonShot_DirectDmg;@Upgrade_Bow_PoisonShot_DirectDmg_description;Ranged Damage;hatchetAbility1;;;;;;Bow;;0;4;0;false;false;;;;;;false;false;true;false;false;false;false;false;false;false;false;false;false;0;0;0;false;0;false;true;;;;Bow_PoisonShot;;;;;;;;;;;;;;;;;0;;0;;0;;;;;0;;2;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;0;0;Ability_Bow_PoisonShot;;;0;;;;;0
Ability_Bow_EvadeShot;@Ability_Bow_EvadeShot;@Ability_Bow_EvadeShot_description;Buff;bowAbility2;;Play_UI_WeaponSkills_Bow_Ability_2;;;;Bow;;0;0;2;true;false;;;;;;false;false;false;false;false;false;false;false;false;false;false;false;false;0;0;0;false;0;false;false;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;;;;0;;0;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;0;0;Ability_Bow_EvadeShot;;;0;;;;;0
Upgrade_Bow_EvasiveShot_Knockback;@Upgrade_Bow_EvasiveKnockback_Knockback;@Upgrade_Bow_EvasiveKnockback_Knockback_description;Buff;bowAbility2_mod1;;;;;;Bow;Ability_Bow_EvadeShot;0;1;2;false;false;;;;;;false;false;true;true;false;false;false;false;false;false;false;false;false;0;0;0;false;0;false;false;;;;BowAttackJumpBack;;;;;;;;;;;;;;;;;0;;0;;0;;;;Bow_JumpBackShot;0;;0;;;;;0;;;;;;;;;;;;;;0;;;;BowAttackKnockBack;;;;;;;;;;;;;;;;;;;0;0;;;;0;;;;;0
Upgrade_Bow_EvasiveShot_Haste;@Upgrade_Bow_EvasiveShot_Haste;@Upgrade_Bow_EvasiveShot_Haste_description;Buff;bowAbility2_mod2;;;;;;Bow;Ability_Bow_EvadeShot;0;3;2;false;false;;;;;;false;false;false;false;false;false;false;false;false;false;false;false;false;0;0;0;false;0;false;false;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;;;;0;;0;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;0;;;;;0
Ability_Bow_RainofArrows;@Ability_Bow_RainofArrows;@Ability_Bow_RainofArrows_description;Ranged Damage;bowAbility6;;Play_UI_WeaponSkills_Bow_Ability_3;;;;Bow;;0;1;4;true;false;;;;;;false;false;false;false;false;false;false;false;false;false;false;false;false;0;0;0;false;0;false;false;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;;;;0;;0;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;0;0;Ability_Bow_RainofArrows;;;0;;;;;0
Upgrade_Bow_RainofArrows_Bleed;@Upgrade_Bow_RainofArrows_Bleed;@Upgrade_Bow_RainofArrows_Bleed_description;Ranged Damage;Rapier_BloodMasterPass4_BleedDamage;;;;;;Bow;Ability_Bow_RainofArrows;0;2;4;false;false;;;;;;false;false;true;true;false;false;false;false;false;false;false;false;true;0;0;0;false;0;false;false;;;;Bow_RainOfArrows_Attack;;;;;;;;;;;;;;;;;0;;0;;0;;;;;0;;0;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;Status_Passive_RainofArrows_Bleed;;;;;;;;;;;;0;0;;;;0;;;;;0
Upgrade_Bow_RainofArrows_Slow;@Upgrade_Bow_RainofArrows_Slow;@Upgrade_Bow_RainofArrows_Slow_description;Ranged Damage;bowAbility6_mod2;;;;;;Bow;Ability_Bow_RainofArrows;0;4;4;false;false;;;;;;false;false;true;true;false;false;false;false;false;false;false;false;true;0;0;0;false;0;false;false;;;;Bow_RainOfArrows_Attack;;;;;;;;;;;;;;;;;0;;0;;0;;;;;0;;0;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;Status_Bow_RainOfArrows_Slow;;;;;;;;;;;;0;0;;;;0;;;;;0
Passive_Bow_Skirmish_DodgeDmg;@Passive_Bow_Skirmish_DodgeDmg;@Passive_Bow_Skirmish_DodgeDmg_description;Passive;bowPassive5;;;;;;Bow;;0;0;3;false;false;;;;;;false;false;false;false;false;false;false;false;false;false;false;false;false;0;0;0;false;0;false;false;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;;;;0;Dodge;0;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;Status_Passive_Bow_Skirmish_DodgeDmg;;;;;;;;;;;;;0;2;;;;0;;;;;0
