AbilityID;DisplayName;Description;UICategory;UISpellForManaCheck;Icon;StatusEffectIcon;Sound;TelegraphStatusEffect;TelegraphCountOffset;OnEquipStatusEffect;EquipWhenUnsheathed;WeaponTag;RequiredAbilityId;TreeId;TreeRowPosition;TreeColumnPosition;IsActiveAbility;IsGlobalAbility;ScalingStrength;ScalingDexterity;ScalingIntelligence;ScalingSpirit;ScalingConstitution;OnKill;OnExecuted;OnHit;OnBlockedHit;OnCrit;OnHeadShot;OnLegShot;OnHitTaken;OnBlockBreak;OnTargetBlockBreak;OnDeath;OnDeathsDoor;OnAttachedSpellTargetDied;OnSelfDamage;RequireReaction;NumSuccessfulHits;NumConsecutiveHits;MaxConsecutiveHits;TrackHitCount;MaxTrackedHitCounts;ResetConsecutiveOnSuccess;DamageIsRanged;DamageIsMelee;ForceShowNameTag;TargetHasGritActive;DamageTableRow;RemoteDamageTableRow;RangedAttackName;AttackType;StatusEffect;StatusEffectStackSize;StatusEffectComparison;StatusEffectCategories;DontHaveStatusEffect;CheckStatusEffectsOnTargetOwned;TargetStatusEffect;TargetStatusEffectCategory;TargetStatusEffectStackSize;TargetStatusEffectComparison;TargetCollisionFilters;TargetMarker;MyHealthPercent;MyComparisonType;MyStaminaPercent;MyStaminaComparisonType;MyManaPercent;MyManaComparisonType;TargetHealthPercent;TargetComparisonType;DistFromDefender;DistComparisonType;NumAroundMe;NumAroundComparisonType;AbilityOnCooldownOptions;AbilitiesOnCooldown;AbilityCooldownComparisonType;AttachedTargetSpellIds;AbilityList;AbilityTrigger;InAction;InActionTime;AfterAction;BaseDamage;BaseDamageReduction;BlockDamage;BlockDamageReduction;CritDamage;CritChance;HeadshotDamage;stagger damage;StaggerDamageReduction;HitRateDmg;HitRateDmgReduction;HealthDamageMitigation;ThreatDamage;ArmorPenetration;PhysicalArmor;ElementalArmor;Knockback;WeaponAccuracy;Health;DmgPctToHealth;MaxHealth;Mana;MaxMana;ManaCostList;ManaCostMult;DamageTableRowOverride;RangedAttackNameOverride;DamageTableStatusEffectOverride;StatusEffectDamageTableRowOverride;ForceStatusEffectDamageTableRow;PowerLevelOverride;EnableCrit;PerStatusEffectOnTarget;PerStatusEffectOnTargetMax;DisableApplyPerStatusEffectStack;ForceTakeStaminaDamage;CastSpell;SelfApplyStatusEffect;OtherApplyStatusEffect;DoNotUnequipSelfAppliedSE;SetPotencyAsCount;MultiplyRemovedByPotency;OnlyChangeOwnedStatusEffects;RemoveStatusEffects;StatusEffectsList;StatusEffectCategoriesList;RemoveTargetStatusEffectsList;ConsumeTargetStatusEffectMult;StatusEffectDurationReduction;TargetStatusEffectDurationCats;TargetStatusEffectDurationList;TargetStatusEffectDurationMod;TargetStatusEffectDurationMult;Duration;CooldownId;CDRImmediatelyOptions;ResetCooldownTimers;CooldownTimer;NumFreeCooldownsPerUse;MaxHitCountMultiplier;SetMannequinTag;SetMannequinTagStatus
Ability_VoidGauntlet_VoidBlade;@VoidGauntlet_Ability_VoidBlade;@VoidGauntlet_Ability_VoidBlade_description;Melee Damage;VoidGauntlet_VoidBlade;lyshineui/images/icons/abilities/voidmagicAbility1.png;;Play_UI_WeaponSkills_VoidGauntlet_Ability_1;;;;false;VoidGauntlet;;0;0;2;true;false;;;;;;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;0;0;0;false;0;;;;;;;;;;;0;;;;false;;;0;;;;0;;;;0;;0;;0;;0;;;;;;;;;0;;0;;;;0;0;;;;;;;;;;;;;;0;;0;;;0;;;;;false;;;;;false;;;;;false;;;false;;;;;;;;;0;0;0;Ability_VoidGauntlet_VoidBlade;;;0;;;;
Upgrade_VoidGauntlet_VoidBlade_Fortify;@VoidGauntlet_Upgrade_VoidBlade_Fortify;@VoidGauntlet_Upgrade_VoidBlade_Fortify_description;Melee Damage;;lyshineui/images/icons/abilities/swordPassive14.png;;;;;;false;VoidGauntlet;Ability_VoidGauntlet_VoidBlade;0;1;2;false;false;;;;;;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;0;0;0;false;0;;;;;;;;;;;0;;;;false;;;0;;;;0;;;;0;;0;;0;;0;;;;;;Ability_VoidGauntlet_VoidBlade;OnPerform;;0;;0;;;;0;0;;;;;;;;;;;;;;0;;0;;;0;;;;;false;;;;;false;;;VoidGauntlet_VoidBlade_Fortify;;false;;;false;;;;;;;;;0;0;0;;;;0;;;;
Upgrade_VoidGauntlet_VoidBlade_CritDmg;@VoidGauntlet_Upgrade_VoidBlade_CritDmg;@VoidGauntlet_Upgrade_VoidBlade_CritDmg_description;Melee Damage;;lyshineui/images/icons/abilities/hatchetAbility4_mod3.png;;;;;;false;VoidGauntlet;Upgrade_VoidGauntlet_VoidBlade_Fortify;0;3;2;false;false;;;;;;false;false;true;false;false;false;false;false;false;false;false;false;false;false;false;0;0;0;false;0;;;;;;VoidGauntlet_Blade_Light,VoidGauntlet_Blade_Heavy;;;;;0;;;;false;;;0;;;;0;;;;0;;0;;0;;0;;;;;;;;;0;;0;;;;0.10000000149011612;0;;;;;;;;;;;;;;0;;0;;;0;;;;;false;;;;;false;;;;;false;;;false;;;;;;;;;0;0;0;;;;0;;;;
Upgrade_VoidGauntlet_VoidBlade_HealOnHvy;@VoidGauntlet_Upgrade_VoidBlade_HealOnHvy;@VoidGauntlet_Upgrade_VoidBlade_HealOnHvy_description;Melee Damage;;lyshineui/images/icons/abilities/hatchetAbility3_mod2.png;;;;;;false;VoidGauntlet;Upgrade_VoidGauntlet_VoidBlade_CritDmg;0;4;2;false;false;;;;;;false;false;true;false;false;false;false;false;false;false;false;false;false;false;false;0;0;0;false;0;;;;;;VoidGauntlet_Blade_Heavy;;;;;0;;;;false;VoidGauntlet_Disintegrate;;1;GreaterThanOrEqual;;;0;;;;0;;0;;0;;0;;;;;;;;;0;;0;;;;0;0;;;;;;;;;;;;;;0;;0;;;0;;;;Common_DamageOverTime_Override;true;;;;;false;;;VoidGauntlet_VoidBlade_HealOnHvy;;false;;;false;;;;;;;;;0;0;0;;;;0;;;;
Ability_VoidGauntlet_NullChamber;@VoidGauntlet_Ability_NullChamber;@VoidGauntlet_Ability_NullChamber_description;Magic Damage;VoidGauntlet_NullChamber_AoE;lyshineui/images/icons/abilities/voidmagicAbility2.png;;Play_UI_WeaponSkills_VoidGauntlet_Ability_2;;;;false;VoidGauntlet;;0;1;4;true;false;;;;;;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;0;0;0;false;0;;;;;;;;;;;0;;;;false;;;0;;;;0;;;;0;;0;;0;;0;;;;;;;;;0;;0;;;;0;0;;;;;;;;;;;;;;0;;0;;;0;;;;;false;;;;;false;;;;;false;;;false;;;;;;;;;0;0;0;Ability_VoidGauntlet_NullChamber;;;0;;;;
Upgrade_VoidGauntlet_NullChamber_WeakenOnHit;@VoidGauntlet_Upgrade_NullChamber_WeakenOnHit;@VoidGauntlet_Upgrade_NullChamber_WeakenOnHit_description;Magic Damage;;lyshineui/images/icons/abilities/hatchetAbility6.png;;;;;;false;VoidGauntlet;Ability_VoidGauntlet_NullChamber;0;2;4;false;false;;;;;;false;false;true;false;false;false;false;false;false;false;false;false;false;false;true;0;0;0;false;0;;;;;;;;;;;0;;;;true;VoidGauntlet_NullChamber_DoT;;0;;;;0;;;;0;;0;;0;;0;;;;;;;;;0;;0;;;;0;0;;;;;;;;;;;;;;0;;0;;;0;;;;Common_DamageOverTime_Override;true;;;;;false;;;;VoidGauntlet_NullChamber_Weaken;false;;;false;;;;;;;;;0;0;0;;;;0;;;;
Upgrade_VoidGauntlet_NullChamber_BonusStamina;@VoidGauntlet_Upgrade_NullChamber_BonusStamina;@VoidGauntlet_Upgrade_NullChamber_BonusStamina_description;Magic Damage;;lyshineui/images/icons/abilities/lifestaffPassive7.png;;;;;;false;VoidGauntlet;Upgrade_VoidGauntlet_NullChamber_WeakenOnHit;0;3;4;false;false;;;;;;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;0;0;0;false;0;;;;;;;;;;;0;;;;false;;;0;;;;0;;;;0;;0;;0;;0;;;;;;;;;0;;0;;;;0;0;;;;;;;;;;;;;;0;;0;;;0;;;;;false;;;;;false;;;;;false;;;false;;;;;;;;;0;0;0;;;;0;;;;
Ability_VoidGauntlet_Scream;@VoidGauntlet_Ability_Scream;@VoidGauntlet_Ability_Scream_description;Debuff;VoidGauntlet_Scream;lyshineui/images/icons/abilities/voidmagicAbility3.png;;Play_UI_WeaponSkills_VoidGauntlet_Ability_3;;;;false;VoidGauntlet;;0;2;0;true;false;;;;;;false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;0;0;0;false;0;;;;;;;;;;;0;;;;false;;;0;;;;0;;;;0;;0;;0;;0;;;;;;;;;0;;0;;;;0;0;;;;;;;;;;;;;;0;;0;;;0;;;;;false;;;;;false;;;;;false;;;false;;;;;;;;;0;0;0;Ability_VoidGauntlet_Scream;;;0;;;;
Upgrade_VoidGauntlet_Scream_BonusDurVsLowHP;@VoidGauntlet_Upgrade_Scream_BonusDurationVsLowHP;@VoidGauntlet_Upgrade_Scream_BonusDurationVsLowHP_description;Debuff;;lyshineui/images/icons/abilities/bowAbility5_mod2.png;;;;;;false;VoidGauntlet;Ability_VoidGauntlet_Scream;0;3;0;false;false;;;;;;false;false;true;false;false;false;false;false;false;false;false;false;false;false;false;0;0;0;false;0;;;;;;VoidGauntlet_Scream;;;;;0;;;;false;;;0;;;;0;;;;0;;50;LessThan;0;;0;;;;;;;;;0;;0;;;;0;0;;;;;;;;;;;;;;0;;0;;;0;;;;;false;;;;;false;;;;;false;;;false;;;;;;;;VoidGauntlet_Scream;1;0;0;;;;0;;;;
Upgrade_VoidGauntlet_Scream_FortifyPerHit;@VoidGauntlet_Upgrade_Scream_FortifyPerHit;@VoidGauntlet_Upgrade_Scream_FortifyPerHit_description;Debuff;;lyshineui/images/icons/abilities/swordPassive14.png;;;;;;false;VoidGauntlet;Upgrade_VoidGauntlet_Scream_BonusDurVsLowHP;0;4;0;false;false;;;;;;false;false;true;false;false;false;false;false;false;false;false;false;false;false;false;0;0;0;false;0;;;;;;VoidGauntlet_Scream;;;;;0;;;;false;;;0;;;;0;;;;0;;0;;0;;0;;;;;;;;;0;;0;;;;0;0;;;;;;;;;;;;;;0;;0;;;0;;;;;false;;;;;false;;;VoidGauntlet_Scream_Fortify;;false;;;false;;;;;;;;;0;0;0;;;;0;;;;
